node_id,hazard_code,exposure_score,mitigation_level,assessment_date
IK-01-00046,Z07,48.8,pełne,2025-09-02
IK-01-00046,Z02,62.0,częściowe,2025-04-07
IK-01-00046,Z08,66.5,częściowe,2025-02-16
IK-01-00046,Z16,54.0,brak,2026-06-05
IK-01-00046,Z04,37.6,pełne,2025-10-01
IK-01-00047,Z07,41.2,pełne,2025-01-25
IK-01-00047,Z02,22.7,brak,2026-01-30
IK-01-00047,Z08,29.1,częściowe,2025-12-11
IK-01-00047,Z16,19.4,częściowe,2025-05-08
IK-01-00047,Z04,36.5,częściowe,2025-09-04
IK-01-00048,Z07,52.9,brak,2026-04-27
IK-01-00048,Z02,33.4,pełne,2025-12-20
IK-01-00048,Z08,61.0,częściowe,2025-09-01
IK-01-00048,Z16,44.0,brak,2025-06-04
IK-01-00048,Z04,47.8,brak,2026-02-02
IK-01-00049,Z07,68.6,częściowe,2026-04-05
IK-01-00049,Z02,34.0,brak,2025-08-01
IK-01-00049,Z08,57.4,brak,2026-02-04
IK-01-00049,Z16,68.2,częściowe,2025-06-27
IK-01-00049,Z04,23.7,częściowe,2025-01-27
IK-01-00050,Z07,53.4,częściowe,2024-10-18
IK-01-00050,Z02,48.8,brak,2026-04-23
IK-01-00050,Z08,23.3,częściowe,2025-03-22
IK-01-00050,Z16,29.1,częściowe,2026-06-26
IK-01-00050,Z04,42.1,brak,2026-06-05
IK-01-00051,Z07,43.2,pełne,2025-11-11
IK-01-00051,Z02,39.3,pełne,2024-12-15
IK-01-00051,Z08,54.6,pełne,2025-12-18
IK-01-00051,Z16,58.9,częściowe,2025-11-22
IK-01-00051,Z04,21.4,brak,2026-05-14
IK-01-00052,Z07,32.7,pełne,2026-06-15
IK-01-00052,Z02,69.8,brak,2025-11-10
IK-01-00052,Z08,50.8,pełne,2025-08-25
IK-01-00052,Z16,20.4,częściowe,2025-07-29
IK-01-00052,Z04,66.2,częściowe,2025-12-02
IK-01-00053,Z07,46.3,częściowe,2026-03-04
IK-01-00053,Z02,61.8,pełne,2026-07-17
IK-01-00053,Z08,20.9,brak,2026-03-15
IK-01-00053,Z16,23.3,częściowe,2025-06-28
IK-01-00053,Z04,63.0,częściowe,2025-10-14
IK-01-00054,Z07,29.2,częściowe,2024-10-28
IK-01-00054,Z02,61.6,pełne,2025-02-18
IK-01-00054,Z08,56.8,częściowe,2024-12-13
IK-01-00054,Z16,57.7,pełne,2026-02-25
IK-01-00054,Z04,18.8,częściowe,2025-05-02
IK-01-00055,Z07,34.6,brak,2026-05-12
IK-01-00055,Z02,26.5,częściowe,2026-01-27
IK-01-00055,Z08,40.3,częściowe,2026-01-10
IK-01-00055,Z16,43.9,częściowe,2026-02-28
IK-01-00055,Z04,41.4,brak,2024-10-11
IK-01-00056,Z07,22.2,częściowe,2026-08-20
IK-01-00056,Z02,96.5,brak,2025-04-09
IK-01-00056,Z08,66.2,pełne,2025-07-27
IK-01-00056,Z16,69.6,częściowe,2024-10-18
IK-01-00056,Z04,47.4,częściowe,2025-05-14
IK-01-00057,Z07,46.9,częściowe,2024-11-15
IK-01-00057,Z02,79.5,częściowe,2026-04-09
IK-01-00057,Z08,33.2,pełne,2025-02-10
IK-01-00057,Z16,25.6,częściowe,2026-02-16
IK-01-00057,Z04,56.5,pełne,2024-12-28
IK-01-00058,Z07,47.0,brak,2025-12-13
IK-01-00058,Z02,36.9,częściowe,2024-11-25
IK-01-00058,Z08,38.4,pełne,2025-10-29
IK-01-00058,Z16,46.7,pełne,2026-04-14
IK-01-00058,Z04,69.1,brak,2026-03-20
IK-01-00059,Z07,48.1,częściowe,2024-10-11
IK-01-00059,Z02,34.0,brak,2025-05-07
IK-01-00059,Z08,62.3,częściowe,2025-02-08
IK-01-00059,Z16,60.8,brak,2025-12-17
IK-01-00059,Z04,27.5,częściowe,2026-04-20
IK-01-00060,Z07,67.3,brak,2025-01-30
IK-01-00060,Z02,26.2,częściowe,2026-04-05
IK-01-00060,Z08,60.3,pełne,2026-08-03
IK-01-00060,Z16,47.1,pełne,2025-07-18
IK-01-00060,Z04,44.5,brak,2026-03-11
IK-01-00061,Z07,69.1,częściowe,2024-12-31
IK-01-00061,Z02,31.9,pełne,2024-11-18
IK-01-00061,Z08,52.9,pełne,2026-03-12
IK-01-00061,Z16,30.8,pełne,2025-09-10
IK-01-00061,Z04,22.9,częściowe,2025-05-04
IK-01-00062,Z07,16.3,brak,2026-05-30
IK-01-00062,Z02,50.1,brak,2026-02-26
IK-01-00062,Z08,47.2,częściowe,2026-02-21
IK-01-00062,Z16,56.6,częściowe,2025-09-04
IK-01-00062,Z04,39.4,brak,2026-08-22
IK-01-00063,Z07,29.9,częściowe,2025-12-17
IK-01-00063,Z02,22.9,brak,2025-07-01
IK-01-00063,Z08,46.4,pełne,2025-02-14
IK-01-00063,Z16,50.2,pełne,2025-07-20
IK-01-00063,Z04,20.6,częściowe,2026-01-05
IK-01-00064,Z07,39.0,pełne,2024-10-24
IK-01-00064,Z02,40.2,częściowe,2025-03-10
IK-01-00064,Z08,65.8,częściowe,2025-04-21
IK-01-00064,Z16,52.6,brak,2025-03-16
IK-01-00064,Z04,53.2,częściowe,2025-05-26
IK-01-00065,Z07,52.3,brak,2025-01-29
IK-01-00065,Z02,43.3,częściowe,2025-08-20
IK-01-00065,Z08,41.2,częściowe,2025-04-14
IK-01-00065,Z16,40.7,brak,2025-03-21
IK-01-00065,Z04,22.6,brak,2025-06-22
IK-01-00066,Z07,50.0,brak,2025-09-25
IK-01-00066,Z02,46.1,pełne,2026-01-05
IK-01-00066,Z08,36.0,częściowe,2025-06-28
IK-01-00066,Z16,24.6,częściowe,2025-12-08
IK-01-00066,Z04,17.1,częściowe,2025-04-19
IK-01-00067,Z07,29.0,pełne,2024-12-20
IK-01-00067,Z02,35.3,częściowe,2024-11-25
IK-01-00067,Z08,33.4,częściowe,2025-04-14
IK-01-00067,Z16,28.8,częściowe,2026-06-01
IK-01-00067,Z04,33.7,częściowe,2024-11-23
IK-01-00068,Z07,28.7,częściowe,2026-02-15
IK-01-00068,Z02,66.2,częściowe,2025-06-01
IK-01-00068,Z08,17.7,brak,2025-08-07
IK-01-00068,Z16,66.2,częściowe,2025-08-26
IK-01-00068,Z04,20.5,częściowe,2025-02-17
IK-01-00069,Z07,27.9,brak,2025-07-08
IK-01-00069,Z02,87.0,częściowe,2026-04-16
IK-01-00069,Z08,57.1,częściowe,2026-08-13
IK-01-00069,Z16,31.6,brak,2025-09-12
IK-01-00069,Z04,28.3,brak,2026-03-04
IK-01-00070,Z07,35.6,częściowe,2025-05-28
IK-01-00070,Z02,77.3,częściowe,2025-09-23
IK-01-00070,Z08,48.5,pełne,2025-03-05
IK-01-00070,Z16,27.2,pełne,2025-05-13
IK-01-00070,Z04,53.8,brak,2025-11-13
IK-01-00071,Z07,53.0,częściowe,2026-07-01
IK-01-00071,Z02,51.0,częściowe,2025-10-21
IK-01-00071,Z08,49.2,częściowe,2025-01-01
IK-01-00071,Z16,47.1,częściowe,2026-06-28
IK-01-00071,Z04,17.7,brak,2025-01-29
IK-01-00072,Z07,60.5,brak,2025-02-24
IK-01-00072,Z02,17.9,brak,2026-07-22
IK-01-00072,Z08,58.0,brak,2026-01-11
IK-01-00072,Z16,51.5,częściowe,2025-05-25
IK-01-00072,Z04,29.4,częściowe,2025-12-04
IK-01-00073,Z07,31.2,częściowe,2025-07-31
IK-01-00073,Z02,69.9,częściowe,2026-06-03
IK-01-00073,Z08,52.2,częściowe,2025-04-15
IK-01-00073,Z16,69.2,częściowe,2025-08-14
IK-01-00073,Z04,35.4,brak,2026-02-25
IK-01-00074,Z07,64.0,częściowe,2025-01-06
IK-01-00074,Z02,21.7,częściowe,2025-03-09
IK-01-00074,Z08,56.2,częściowe,2024-10-16
IK-01-00074,Z16,33.9,pełne,2025-01-08
IK-01-00074,Z04,18.9,częściowe,2025-11-22
IK-01-00075,Z07,58.1,częściowe,2025-08-15
IK-01-00075,Z02,33.8,brak,2026-01-29
IK-01-00075,Z08,43.4,brak,2026-06-24
IK-01-00075,Z16,26.4,pełne,2025-09-13
IK-01-00075,Z04,15.6,częściowe,2025-02-07
IK-01-00076,Z07,39.1,brak,2025-04-24
IK-01-00076,Z02,54.5,częściowe,2025-12-19
IK-01-00076,Z08,35.5,pełne,2025-12-03
IK-01-00076,Z16,64.9,częściowe,2026-03-24
IK-01-00076,Z04,36.1,brak,2026-02-22
IK-01-00077,Z07,34.5,brak,2026-08-22
IK-01-00077,Z02,95.7,brak,2026-04-14
IK-01-00077,Z08,20.3,częściowe,2024-11-06
IK-01-00077,Z16,21.3,częściowe,2025-04-26
IK-01-00077,Z04,23.7,częściowe,2024-10-11
IK-01-00078,Z07,49.6,częściowe,2025-04-11
IK-01-00078,Z02,34.4,pełne,2026-06-20
IK-01-00078,Z08,38.0,częściowe,2026-03-11
IK-01-00078,Z16,63.0,częściowe,2026-05-31
IK-01-00078,Z04,64.4,częściowe,2025-04-15
IK-01-00079,Z07,30.8,częściowe,2025-06-29
IK-01-00079,Z02,51.7,brak,2025-10-11
IK-01-00079,Z08,62.9,pełne,2026-06-09
IK-01-00079,Z16,17.7,pełne,2025-07-04
IK-01-00079,Z04,39.5,częściowe,2025-11-14
IK-01-00080,Z07,58.4,pełne,2025-01-13
IK-01-00080,Z02,67.6,częściowe,2024-10-24
IK-01-00080,Z08,23.9,częściowe,2025-03-31
IK-01-00080,Z16,26.1,częściowe,2025-12-31
IK-01-00080,Z04,21.3,brak,2026-01-01
IK-01-00081,Z07,53.1,częściowe,2025-02-10
IK-01-00081,Z02,25.8,częściowe,2025-12-23
IK-01-00081,Z08,28.0,pełne,2025-09-05
IK-01-00081,Z16,57.3,częściowe,2024-11-19
IK-01-00081,Z04,32.7,częściowe,2024-10-27
IK-01-00082,Z07,65.6,częściowe,2025-03-08
IK-01-00082,Z02,81.8,pełne,2025-11-30
IK-01-00082,Z08,58.3,brak,2026-04-26
IK-01-00082,Z16,18.0,brak,2025-05-19
IK-01-00082,Z04,19.3,częściowe,2026-02-10
IK-01-00083,Z07,28.6,częściowe,2025-06-07
IK-01-00083,Z02,35.0,brak,2026-01-22
IK-01-00083,Z08,22.8,częściowe,2026-03-17
IK-01-00083,Z16,67.9,częściowe,2025-07-01
IK-01-00083,Z04,21.3,pełne,2025-08-24
IK-01-00084,Z07,24.9,częściowe,2025-04-25
IK-01-00084,Z02,50.4,pełne,2025-10-05
IK-01-00084,Z08,63.8,brak,2026-05-05
IK-01-00084,Z16,16.3,częściowe,2025-11-11
IK-01-00084,Z04,51.0,brak,2026-03-29
IK-01-00085,Z07,52.1,brak,2024-12-29
IK-01-00085,Z02,28.5,brak,2025-10-16
IK-01-00085,Z08,49.2,pełne,2025-12-19
IK-01-00085,Z16,50.2,brak,2024-10-15
IK-01-00085,Z04,24.8,brak,2025-06-10
IK-01-00086,Z07,54.3,brak,2024-12-06
IK-01-00086,Z02,48.0,brak,2026-05-18
IK-01-00086,Z08,31.3,brak,2026-04-26
IK-01-00086,Z16,41.3,pełne,2025-06-18
IK-01-00086,Z04,34.3,brak,2025-07-13
IK-01-00087,Z07,50.6,częściowe,2025-08-04
IK-01-00087,Z02,60.1,pełne,2026-05-05
IK-01-00087,Z08,24.4,częściowe,2025-04-19
IK-01-00087,Z16,54.9,brak,2024-11-09
IK-01-00087,Z04,57.4,częściowe,2025-12-09
IK-01-00088,Z07,32.1,częściowe,2026-01-13
IK-01-00088,Z02,92.9,częściowe,2026-02-23
IK-01-00088,Z08,36.2,brak,2025-07-20
IK-01-00088,Z16,45.8,częściowe,2026-02-22
IK-01-00088,Z04,58.4,częściowe,2025-04-30
IK-01-00089,Z07,39.8,częściowe,2025-03-29
IK-01-00089,Z02,50.3,częściowe,2025-02-28
IK-01-00089,Z08,61.4,częściowe,2026-03-11
IK-01-00089,Z16,37.7,brak,2025-02-22
IK-01-00089,Z04,57.3,pełne,2026-01-30
IK-01-00090,Z07,51.5,brak,2025-07-07
IK-01-00090,Z02,27.5,brak,2025-04-16
IK-01-00090,Z08,21.4,częściowe,2025-03-14
IK-01-00090,Z16,25.7,częściowe,2026-03-06
IK-01-00090,Z04,56.9,częściowe,2025-12-28
IK-01-00091,Z07,37.8,częściowe,2026-08-01
IK-01-00091,Z02,65.5,częściowe,2025-06-28
IK-01-00091,Z08,54.2,pełne,2025-02-27
IK-01-00091,Z16,22.3,częściowe,2025-02-02
IK-01-00091,Z04,18.3,częściowe,2026-01-02
IK-01-00092,Z07,64.3,pełne,2026-03-13
IK-01-00092,Z02,55.1,częściowe,2026-08-10
IK-01-00092,Z08,65.1,brak,2025-12-08
IK-01-00092,Z16,51.0,brak,2026-07-22
IK-01-00092,Z04,19.8,częściowe,2025-02-23
IK-01-00093,Z07,60.7,częściowe,2025-06-24
IK-01-00093,Z02,19.7,brak,2025-09-24
IK-01-00093,Z08,17.1,częściowe,2026-01-02
IK-01-00093,Z16,47.3,częściowe,2025-08-02
IK-01-00093,Z04,25.0,częściowe,2025-10-27
IK-01-00094,Z07,36.7,częściowe,2026-01-27
IK-01-00094,Z02,15.6,częściowe,2024-12-15
IK-01-00094,Z08,60.6,częściowe,2024-10-30
IK-01-00094,Z16,28.8,częściowe,2026-05-19
IK-01-00094,Z04,48.5,brak,2025-01-24
IK-01-00095,Z07,24.8,częściowe,2026-01-14
IK-01-00095,Z02,20.3,pełne,2025-03-03
IK-01-00095,Z08,38.3,częściowe,2026-02-02
IK-01-00095,Z16,64.4,częściowe,2025-03-27
IK-01-00095,Z04,30.8,częściowe,2025-04-03
IK-01-00096,Z07,61.3,brak,2025-07-08
IK-01-00096,Z02,62.6,częściowe,2025-07-31
IK-01-00096,Z08,20.2,częściowe,2026-08-23
IK-01-00096,Z16,25.4,częściowe,2025-06-03
IK-01-00096,Z04,64.2,pełne,2026-08-17
IK-01-00097,Z07,18.7,częściowe,2025-03-07
IK-01-00097,Z02,31.8,częściowe,2024-12-07
IK-01-00097,Z08,19.1,częściowe,2024-10-16
IK-01-00097,Z16,55.0,częściowe,2025-12-10
IK-01-00097,Z04,22.4,częściowe,2025-10-07
IK-01-00098,Z07,24.7,brak,2024-11-10
IK-01-00098,Z02,64.4,pełne,2025-03-17
IK-01-00098,Z08,55.5,częściowe,2026-08-16
IK-01-00098,Z16,41.7,brak,2025-01-02
IK-01-00098,Z04,51.1,brak,2025-03-18
IK-01-00099,Z07,25.7,częściowe,2025-02-11
IK-01-00099,Z02,37.2,częściowe,2026-07-23
IK-01-00099,Z08,46.9,brak,2026-05-27
IK-01-00099,Z16,28.0,pełne,2025-01-20
IK-01-00099,Z04,31.6,brak,2025-12-17
IK-01-00100,Z07,54.8,brak,2026-01-05
IK-01-00100,Z02,21.9,częściowe,2025-10-08
IK-01-00100,Z08,47.5,częściowe,2025-09-02
IK-01-00100,Z16,43.7,częściowe,2025-09-07
IK-01-00100,Z04,38.9,brak,2025-08-18
IK-01-00101,Z07,69.2,brak,2026-04-29
IK-01-00101,Z02,61.0,częściowe,2025-10-21
IK-01-00101,Z08,45.5,częściowe,2025-01-02
IK-01-00101,Z16,59.7,częściowe,2025-07-03
IK-01-00101,Z04,69.0,częściowe,2025-12-13
IK-01-00102,Z07,47.0,częściowe,2026-05-21
IK-01-00102,Z02,25.0,częściowe,2025-05-19
IK-01-00102,Z08,64.4,brak,2026-07-24
IK-01-00102,Z16,69.6,brak,2024-11-09
IK-01-00102,Z04,37.3,częściowe,2025-05-10
IK-01-00103,Z07,56.6,brak,2026-05-04
IK-01-00103,Z02,65.3,brak,2024-10-18
