gauge_id,voivodeship_code,gmina_code,powiat_code,warning_level_cm,alarm_level_cm,lat,lon
WG-16-014,16,1610002,1610,264,380,50.76627,16.63032
WG-16-015,16,1611003,1611,272,367,51.20807,17.81924
WG-16-016,16,1609006,1609,307,346,50.94545,19.31802
WG-16-017,16,1606004,1606,289,407,50.8176,18.13652
WG-16-018,16,1603005,1603,251,388,51.21571,17.3867
WG-16-019,16,1603003,1603,324,393,51.16341,17.40254
WG-16-020,16,1605003,1605,288,350,50.43013,17.82605
WG-16-021,16,1606006,1606,269,376,50.97442,18.24784
WG-16-022,16,1605007,1605,271,384,50.42621,17.60852
WG-16-023,16,1604006,1604,241,358,50.80597,19.07399
WG-16-024,16,1606005,1606,305,397,50.64117,18.27476
WG-24-001,24,2403002,2403,271,410,49.46981,18.99671
WG-24-002,24,2414001,2414,306,417,50.34726,19.3163
WG-24-003,24,2431006,2431,281,363,50.36542,18.58841
WG-24-004,24,2418006,2418,290,417,49.77534,18.41963
WG-24-005,24,2432004,2432,283,418,50.37792,18.77298
WG-24-006,24,2433001,2433,264,370,49.70531,19.29015
WG-24-007,24,2417001,2417,253,349,49.33094,18.541
WG-24-008,24,2424003,2424,261,353,50.39683,20.03656
WG-24-009,24,2407004,2407,262,374,50.72094,19.642
WG-24-010,24,2405005,2405,270,375,50.32441,19.36478
WG-24-011,24,2407003,2407,329,356,50.62871,19.57138
WG-24-012,24,2404005,2404,279,385,50.31182,18.94303
WG-24-013,24,2415003,2415,272,357,49.91486,19.45453
WG-24-014,24,2434005,2434,307,357,50.45332,18.479
WG-24-015,24,2428002,2428,288,357,50.24022,19.40578
WG-24-016,24,2419003,2419,267,398,50.37188,18.65127
WG-24-017,24,2436006,2436,329,377,50.66663,19.63729
WG-24-018,24,2411005,2411,291,384,50.98272,19.06394
WG-24-019,24,2426005,2426,306,421,49.89118,18.73833
WG-24-020,24,2432003,2432,247,374,50.60085,19.15073
WG-24-021,24,2433001,2433,325,379,49.70531,19.29015
WG-24-022,24,2416002,2416,302,341,49.95423,19.63822
WG-24-023,24,2407006,2407,248,380,50.35488,19.96179
WG-24-024,24,2416002,2416,261,396,49.95423,19.63822
WG-08-001,08,0805005,0805,316,391,52.89083,15.05517
WG-08-002,08,0811004,0811,256,414,51.75168,15.2313
WG-08-003,08,0804002,0804,277,409,51.93977,15.59582
WG-08-004,08,0801003,0801,309,341,52.26848,16.35568
WG-08-005,08,0808003,0808,272,422,52.21097,15.52407
WG-08-006,08,0813001,0813,271,342,52.16664,15.46981
WG-08-007,08,0813005,0813,280,412,52.0289,15.4754
WG-08-008,08,0806001,0806,266,368,52.51397,14.98433
WG-08-009,08,0806002,0806,282,411,52.53255,15.1645
WG-08-010,08,0812006,0812,300,342,52.72829,15.55852
WG-08-011,08,0802005,0802,245,357,52.45434,15.71698
WG-08-012,08,0803002,0803,281,341,51.95363,14.86746
WG-08-013,08,0802006,0802,264,413,52.3938,16.29829
WG-08-014,08,0813002,0813,303,404,52.15561,15.87384
WG-08-015,08,0813007,0813,260,424,52.19278,16.11181
WG-08-016,08,0812002,0812,310,400,52.72166,15.51348
WG-08-017,08,0810001,0810,247,367,52.08425,14.48209
WG-08-018,08,0804005,0804,247,403,51.72567,15.02313
WG-08-019,08,0810007,0810,307,371,52.15638,14.84164
WG-08-020,08,0811001,0811,259,406,51.7546,15.71352
WG-08-021,08,0802004,0802,311,418,51.94111,15.93872
WG-08-022,08,0810005,0810,317,405,52.20551,14.63761
WG-08-023,08,0803005,0803,324,424,51.87789,14.86775
WG-08-024,08,0809004,0809,306,361,51.90178,15.34649
WG-32-001,32,3206002,3206,311,373,52.78336,13.76986
WG-32-002,32,3201001,3201,274,397,53.18483,13.51522
WG-32-003,32,3219002,3219,264,383,54.21598,15.31547
WG-32-004,32,3215002,3215,254,389,54.26235,15.19386
WG-32-005,32,3210001,3210,288,342,53.92041,14.92765
WG-32-006,32,3205006,3205,274,350,53.61736,15.22764
WG-32-007,32,3207004,3207,278,412,53.35728,14.8027
WG-32-008,32,3205005,3205,265,408,53.47933,15.40939
WG-32-009,32,3208002,3208,266,371,53.63459,14.46967
WG-32-010,32,3215003,3215,251,370,53.90343,14.92145
WG-32-011,32,3213004,3213,276,374,53.22561,13.48701
WG-32-012,32,3217005,3217,318,410,53.49888,14.34642
WG-32-013,32,3207001,3207,307,390,53.46227,14.31381
WG-32-014,32,3211005,3211,275,390,52.79733,13.21314
WG-32-015,32,3219004,3219,276,416,54.04667,15.30917
WG-32-016,32,3219003,3219,311,405,53.91103,15.2017
WG-32-017,32,3211005,3211,312,392,52.79733,13.21314
WG-32-018,32,3218002,3218,307,414,52.91091,15.98536
WG-32-019,32,3204005,3204,306,415,52.97391,15.56547
WG-32-020,32,3216003,3216,270,402,53.4167,14.87369
WG-32-021,32,3202003,3202,269,425,53.39907,15.17737
WG-32-022,32,3212002,3212,270,409,53.93078,15.36495
WG-32-023,32,3212001,3212,252,398,53.79994,15.02021
WG-32-024,32,3206006,3206,320,400,53.26179,13.98046
