gmina_code,powiat_code,voivodeship_code,gmina_name,gmina_type,population,lat,lon
0207005,0207,02,gmina dolnośląskie-południowy-07-05,miejska,36203,50.92546,17.59402
0207006,0207,02,gmina dolnośląskie-południowy-07-06,miejsko-wiejska,8635,51.10592,17.82175
0207007,0207,02,gmina dolnośląskie-południowy-07-07,wiejska,5509,51.39293,17.47715
0208001,0208,02,gmina dolnośląskie-wschodni-08-01,miejsko-wiejska,3671,51.28674,16.2229
0208002,0208,02,gmina dolnośląskie-wschodni-08-02,miejsko-wiejska,5084,51.32926,16.53295
0208003,0208,02,gmina dolnośląskie-wschodni-08-03,miejsko-wiejska,5509,51.40601,16.64732
0208004,0208,02,gmina dolnośląskie-wschodni-08-04,miejsko-wiejska,19742,51.34647,16.68644
0208005,0208,02,gmina dolnośląskie-wschodni-08-05,wiejska,2524,51.23632,16.26266
0208006,0208,02,gmina dolnośląskie-wschodni-08-06,wiejska,8724,51.20336,16.39582
0208007,0208,02,gmina dolnośląskie-wschodni-08-07,wiejska,26028,51.25559,16.50601
0209001,0209,02,gmina dolnośląskie-zachodni-09-01,miejska,23294,51.24997,16.37375
0209002,0209,02,gmina dolnośląskie-zachodni-09-02,wiejska,10699,51.39162,16.68561
0209003,0209,02,gmina dolnośląskie-zachodni-09-03,miejska,32596,51.31677,16.15395
0209004,0209,02,gmina dolnośląskie-zachodni-09-04,miejsko-wiejska,7673,51.36237,16.53714
0209005,0209,02,gmina dolnośląskie-zachodni-09-05,wiejska,9239,51.35536,16.46586
0209006,0209,02,gmina dolnośląskie-zachodni-09-06,wiejska,17054,51.27775,16.30503
0209007,0209,02,gmina dolnośląskie-zachodni-09-07,wiejska,9978,50.85915,16.44536
0210001,0210,02,gmina dolnośląskie-centralny-10-01,wiejska,1800,51.20976,16.95838
0210002,0210,02,gmina dolnośląskie-centralny-10-02,wiejska,10895,51.28269,16.73724
0210003,0210,02,gmina dolnośląskie-centralny-10-03,wiejska,18953,51.37089,17.29869
0210004,0210,02,gmina dolnośląskie-centralny-10-04,miejsko-wiejska,8093,51.48685,17.17975
0210005,0210,02,gmina dolnośląskie-centralny-10-05,miejska,29179,51.30351,16.85169
0210006,0210,02,gmina dolnośląskie-centralny-10-06,miejsko-wiejska,7926,51.25639,16.82393
0210007,0210,02,gmina dolnośląskie-centralny-10-07,miejsko-wiejska,5114,51.55398,16.87912
0211001,0211,02,gmina dolnośląskie-miejski-11-01,miejsko-wiejska,6799,51.01595,16.56788
0211002,0211,02,gmina dolnośląskie-miejski-11-02,wiejska,11877,50.89979,16.32759
0211003,0211,02,gmina dolnośląskie-miejski-11-03,wiejska,16073,50.97615,16.25629
0211004,0211,02,gmina dolnośląskie-miejski-11-04,miejsko-wiejska,10669,51.08999,16.23465
0211005,0211,02,gmina dolnośląskie-miejski-11-05,wiejska,9342,51.12538,16.59662
0211006,0211,02,gmina dolnośląskie-miejski-11-06,miejsko-wiejska,11990,50.8472,16.58839
0211007,0211,02,gmina dolnośląskie-miejski-11-07,wiejska,6716,50.96699,16.6909
0212001,0212,02,gmina dolnośląskie-północny-12-01,wiejska,20275,51.79784,17.06482
0212002,0212,02,gmina dolnośląskie-północny-12-02,miejsko-wiejska,7570,51.61042,16.96071
0212003,0212,02,gmina dolnośląskie-północny-12-03,miejsko-wiejska,8735,51.58157,16.97152
0212004,0212,02,gmina dolnośląskie-północny-12-04,wiejska,7810,51.46976,16.73626
0212005,0212,02,gmina dolnośląskie-północny-12-05,miejsko-wiejska,12004,51.56496,16.87965
0212006,0212,02,gmina dolnośląskie-północny-12-06,wiejska,12276,51.51584,16.9587
0212007,0212,02,gmina dolnośląskie-północny-12-07,wiejska,10248,51.40404,17.08905
0213001,0213,02,gmina dolnośląskie-południowy-13-01,miejsko-wiejska,5940,50.72208,16.50777
0213002,0213,02,gmina dolnośląskie-południowy-13-02,miejsko-wiejska,4302,50.94402,16.6543
0213003,0213,02,gmina dolnośląskie-południowy-13-03,wiejska,6575,51.0178,16.77091
0213004,0213,02,gmina dolnośląskie-południowy-13-04,wiejska,9857,50.99052,16.8234
0213005,0213,02,gmina dolnośląskie-południowy-13-05,miejska,7281,50.88986,16.29209
0213006,0213,02,gmina dolnośląskie-południowy-13-06,miejska,27511,50.93664,16.90498
0213007,0213,02,gmina dolnośląskie-południowy-13-07,miejska,56180,50.9636,16.61126
0214001,0214,02,gmina dolnośląskie-wschodni-14-01,wiejska,10946,51.23365,17.10073
0214002,0214,02,gmina dolnośląskie-wschodni-14-02,wiejska,14934,51.22977,17.25407
0214003,0214,02,gmina dolnośląskie-wschodni-14-03,miejsko-wiejska,12332,51.17816,17.28603
0214004,0214,02,gmina dolnośląskie-wschodni-14-04,miejska,41485,51.31553,16.95615
0214005,0214,02,gmina dolnośląskie-wschodni-14-05,miejsko-wiejska,4756,51.23238,17.20408
0214006,0214,02,gmina dolnośląskie-wschodni-14-06,wiejska,4480,51.35916,16.86506
0214007,0214,02,gmina dolnośląskie-wschodni-14-07,wiejska,7140,51.31653,17.56556
0215001,0215,02,gmina dolnośląskie-zachodni-15-01,wiejska,3449,51.4482,17.16542
0215002,0215,02,gmina dolnośląskie-zachodni-15-02,wiejska,10455,51.27223,17.22145
0215003,0215,02,gmina dolnośląskie-zachodni-15-03,miejska,24458,51.44587,17.05022
0215004,0215,02,gmina dolnośląskie-zachodni-15-04,wiejska,16350,51.17307,17.1255
0215005,0215,02,gmina dolnośląskie-zachodni-15-05,wiejska,4168,51.31599,17.41152
0215006,0215,02,gmina dolnośląskie-zachodni-15-06,wiejska,7723,51.23124,16.92517
0215007,0215,02,gmina dolnośląskie-zachodni-15-07,miejsko-wiejska,7029,51.04978,16.9635
0216001,0216,02,gmina dolnośląskie-centralny-16-01,wiejska,9326,52.0853,17.21022
0216002,0216,02,gmina dolnośląskie-centralny-16-02,miejska,18700,52.10042,16.72278
0216003,0216,02,gmina dolnośląskie-centralny-16-03,miejsko-wiejska,7377,51.97007,16.68823
0216004,0216,02,gmina dolnośląskie-centralny-16-04,wiejska,8677,51.86075,16.41083
0216005,0216,02,gmina dolnośląskie-centralny-16-05,wiejska,3111,51.99875,16.6239
0216006,0216,02,gmina dolnośląskie-centralny-16-06,wiejska,5599,51.91494,16.82751
0216007,0216,02,gmina dolnośląskie-centralny-16-07,miejsko-wiejska,9061,51.82854,16.90947
0217001,0217,02,gmina dolnośląskie-miejski-17-01,wiejska,21570,50.96964,16.63742
0217002,0217,02,gmina dolnośląskie-miejski-17-02,miejska,58105,51.05226,16.5691
0217003,0217,02,gmina dolnośląskie-miejski-17-03,wiejska,11742,50.97291,16.24393
0217004,0217,02,gmina dolnośląskie-miejski-17-04,wiejska,12512,50.72909,16.30145
0217005,0217,02,gmina dolnośląskie-miejski-17-05,miejsko-wiejska,18182,51.01458,16.73503
0217006,0217,02,gmina dolnośląskie-miejski-17-06,wiejska,6846,50.75556,16.40674
0217007,0217,02,gmina dolnośląskie-miejski-17-07,wiejska,8632,50.91562,16.66782
0218001,0218,02,gmina dolnośląskie-północny-18-01,miejska,21504,51.37983,17.33309
0218002,0218,02,gmina dolnośląskie-północny-18-02,wiejska,10712,51.33447,17.37847
0218003,0218,02,gmina dolnośląskie-północny-18-03,wiejska,7000,51.31013,17.4696
0218004,0218,02,gmina dolnośląskie-północny-18-04,wiejska,24299,51.32127,17.47459
0218005,0218,02,gmina dolnośląskie-północny-18-05,wiejska,2207,51.21782,17.47095
0218006,0218,02,gmina dolnośląskie-północny-18-06,miejska,17584,51.51369,17.48959
0218007,0218,02,gmina dolnośląskie-północny-18-07,miejsko-wiejska,18012,51.34209,17.528
0219001,0219,02,gmina dolnośląskie-południowy-19-01,miejska,25462,51.05719,16.76448
0219002,0219,02,gmina dolnośląskie-południowy-19-02,wiejska,1923,50.7965,16.33471
0219003,0219,02,gmina dolnośląskie-południowy-19-03,wiejska,8176,51.14641,16.5278
0219004,0219,02,gmina dolnośląskie-południowy-19-04,wiejska,6385,51.18918,16.63365
0219005,0219,02,gmina dolnośląskie-południowy-19-05,miejsko-wiejska,9082,51.18185,16.48971
0219006,0219,02,gmina dolnośląskie-południowy-19-06,miejska,18994,51.14742,16.45893
0219007,0219,02,gmina dolnośląskie-południowy-19-07,wiejska,8109,51.24818,15.97224
0220001,0220,02,gmina dolnośląskie-wschodni-20-01,wiejska,3364,50.63238,17.18881
0220002,0220,02,gmina dolnośląskie-wschodni-20-02,miejska,22974,50.59075,17.07065
0220003,0220,02,gmina dolnośląskie-wschodni-20-03,wiejska,4751,51.10617,17.60016
0220004,0220,02,gmina dolnośląskie-wschodni-20-04,miejska,20841,50.73943,17.03948
0220005,0220,02,gmina dolnośląskie-wschodni-20-05,wiejska,2482,50.77151,17.06824
0220006,0220,02,gmina dolnośląskie-wschodni-20-06,wiejska,7687,50.57867,17.11305
0220007,0220,02,gmina dolnośląskie-wschodni-20-07,miejska,29500,50.83431,17.33715
0221001,0221,02,gmina dolnośląskie-zachodni-21-01,wiejska,3573,51.49355,17.04669
0221002,0221,02,gmina dolnośląskie-zachodni-21-02,wiejska,11996,51.38106,16.93722
0221003,0221,02,gmina dolnośląskie-zachodni-21-03,miejsko-wiejska,6660,51.42994,17.31519
0221004,0221,02,gmina dolnośląskie-zachodni-21-04,wiejska,7424,51.58157,17.39016
0221005,0221,02,gmina dolnośląskie-zachodni-21-05,miejsko-wiejska,6911,51.47996,17.56615
0221006,0221,02,gmina dolnośląskie-zachodni-21-06,miejsko-wiejska,27323,51.2228,17.02269
0221007,0221,02,gmina dolnośląskie-zachodni-21-07,wiejska,20346,51.24486,16.94745
0222001,0222,02,gmina dolnośląskie-centralny-22-01,wiejska,5994,50.90174,17.00823
0222002,0222,02,gmina dolnośląskie-centralny-22-02,miejsko-wiejska,5413,50.75946,16.89235
0222003,0222,02,gmina dolnośląskie-centralny-22-03,miejsko-wiejska,4697,51.14372,17.08422
0222004,0222,02,gmina dolnośląskie-centralny-22-04,wiejska,14041,50.78353,16.99236
0222005,0222,02,gmina dolnośląskie-centralny-22-05,wiejska,5206,50.50239,16.76587
0222006,0222,02,gmina dolnośląskie-centralny-22-06,miejsko-wiejska,2637,50.55464,16.80057
0222007,0222,02,gmina dolnośląskie-centralny-22-07,wiejska,18425,50.84133,17.2729
0223001,0223,02,gmina dolnośląskie-miejski-23-01,miejska,34710,51.24607,16.84911
0223002,0223,02,gmina dolnośląskie-miejski-23-02,miejsko-wiejska,11213,51.23907,16.91072
0223003,0223,02,gmina dolnośląskie-miejski-23-03,miejsko-wiejska,11463,51.21794,16.91587
0223004,0223,02,gmina dolnośląskie-miejski-23-04,wiejska,4039,50.9904,17.03672
0223005,0223,02,gmina dolnośląskie-miejski-23-05,miejsko-wiejska,9924,51.04131,17.02533
0223006,0223,02,gmina dolnośląskie-miejski-23-06,miejsko-wiejska,11541,51.2247,17.31514
0223007,0223,02,gmina dolnośląskie-miejski-23-07,miejska,59380,51.01417,17.34016
0224001,0224,02,gmina dolnośląskie-północny-24-01,wiejska,5830,51.56697,17.0359
0224002,0224,02,gmina dolnośląskie-północny-24-02,miejsko-wiejska,6275,51.19614,16.99038
0224003,0224,02,gmina dolnośląskie-północny-24-03,wiejska,3081,51.55689,17.31117
0224004,0224,02,gmina dolnośląskie-północny-24-04,wiejska,4943,51.4704,16.88516
0224005,0224,02,gmina dolnośląskie-północny-24-05,miejska,18221,51.53182,17.01566
0224006,0224,02,gmina dolnośląskie-północny-24-06,miejsko-wiejska,23827,51.36845,17.21285
0224007,0224,02,gmina dolnośląskie-północny-24-07,wiejska,8607,51.53459,16.93802
0225001,0225,02,gmina dolnośląskie-południowy-25-01,miejsko-wiejska,7857,51.34298,16.77832
0225002,0225,02,gmina dolnośląskie-południowy-25-02,miejska,40558,51.44252,17.04995
0225003,0225,02,gmina dolnośląskie-południowy-25-03,wiejska,21013,51.5464,16.86593
0225004,0225,02,gmina dolnośląskie-południowy-25-04,wiejska,10211,51.27692,16.94161
0225005,0225,02,gmina dolnośląskie-południowy-25-05,wiejska,5586,51.5686,17.00627
0225006,0225,02,gmina dolnośląskie-południowy-25-06,wiejska,7078,51.51316,16.52475
0225007,0225,02,gmina dolnośląskie-południowy-25-07,wiejska,2324,51.46145,16.94866
0226001,0226,02,gmina dolnośląskie-wschodni-26-01,miejsko-wiejska,9464,51.03744,17.2428
0226002,0226,02,gmina dolnośląskie-wschodni-26-02,miejska,93169,51.31702,17.27945
0226003,0226,02,gmina dolnośląskie-wschodni-26-03,miejsko-wiejska,6172,51.15858,16.84266
0226004,0226,02,gmina dolnośląskie-wschodni-26-04,miejsko-wiejska,9506,51.31978,16.94784
0226005,0226,02,gmina dolnośląskie-wschodni-26-05,wiejska,5377,51.0594,17.06379
0226006,0226,02,gmina dolnośląskie-wschodni-26-06,wiejska,8376,50.9389,17.36392
0226007,0226,02,gmina dolnośląskie-wschodni-26-07,wiejska,12931,51.17723,16.77588
0227001,0227,02,gmina dolnośląskie-zachodni-27-01,wiejska,4368,50.70656,16.19636
0227002,0227,02,gmina dolnośląskie-zachodni-27-02,miejska,21688,50.39288,16.87705
0227003,0227,02,gmina dolnośląskie-zachodni-27-03,miejsko-wiejska,5331,50.59879,16.83162
0227004,0227,02,gmina dolnośląskie-zachodni-27-04,miejsko-wiejska,25297,50.5199,16.79563
0227005,0227,02,gmina dolnośląskie-zachodni-27-05,wiejska,3226,50.70103,16.57968
0227006,0227,02,gmina dolnośląskie-zachodni-27-06,miejsko-wiejska,5723,50.54339,16.42723
0227007,0227,02,gmina dolnośląskie-zachodni-27-07,miejsko-wiejska,9337,50.67205,16.77984
0228001,0228,02,gmina dolnośląskie-centralny-28-01,wiejska,3025,50.90516,16.68961
0228002,0228,02,gmina dolnośląskie-centralny-28-02,miejsko-wiejska,2529,50.78154,16.71516
0228003,0228,02,gmina dolnośląskie-centralny-28-03,miejsko-wiejska,9580,50.97482,16.90192
0228004,0228,02,gmina dolnośląskie-centralny-28-04,miejsko-wiejska,10834,51.00679,17.06366
0228005,0228,02,gmina dolnośląskie-centralny-28-05,wiejska,7097,50.81754,16.6299
0228006,0228,02,gmina dolnośląskie-centralny-28-06,wiejska,10637,50.85279,16.35246
0228007,0228,02,gmina dolnośląskie-centralny-28-07,wiejska,33931,50.96375,16.40949
0229001,0229,02,gmina dolnośląskie-miejski-29-01,wiejska,14298,50.98126,17.67417
0229002,0229,02,gmina dolnośląskie-miejski-29-02,miejska,38124,50.82751,17.78922
0229003,0229,02,gmina dolnośląskie-miejski-29-03,wiejska,26530,51.05605,17.65074
0229004,0229,02,gmina dolnośląskie-miejski-29-04,wiejska,5917,50.94211,17.67397
0229005,0229,02,gmina dolnośląskie-miejski-29-05,wiejska,6410,51.11457,17.39291
0229006,0229,02,gmina dolnośląskie-miejski-29-06,wiejska,13827,50.94609,17.79384
0229007,0229,02,gmina dolnośląskie-miejski-29-07,wiejska,4028,51.16817,17.95889
0230001,0230,02,gmina dolnośląskie-północny-30-01,miejska,48773,50.57406,17.59008
0230002,0230,02,gmina dolnośląskie-północny-30-02,wiejska,10415,50.56229,17.42793
0230003,0230,02,gmina dolnośląskie-północny-30-03,miejsko-wiejska,10157,50.84327,17.46623
0230004,0230,02,gmina dolnośląskie-północny-30-04,miejsko-wiejska,9706,50.96255,17.6655
0230005,0230,02,gmina dolnośląskie-północny-30-05,miejska,4547,50.72971,17.40127
0230006,0230,02,gmina dolnośląskie-północny-30-06,miejsko-wiejska,2734,50.78322,17.66981
0230007,0230,02,gmina dolnośląskie-północny-30-07,wiejska,4131,50.81471,17.25854
0401001,0401,04,gmina kujawsko-pomorskie-południowy-01-01,miejsko-wiejska,5342,52.55257,18.21272
0401002,0401,04,gmina kujawsko-pomorskie-południowy-01-02,wiejska,10792,52.11725,18.66965
0401003,0401,04,gmina kujawsko-pomorskie-południowy-01-03,wiejska,11773,52.33679,18.42516
0401004,0401,04,gmina kujawsko-pomorskie-południowy-01-04,miejsko-wiejska,3380,52.51424,18.25425
0401005,0401,04,gmina kujawsko-pomorskie-południowy-01-05,wiejska,7140,52.29659,18.20549
0401006,0401,04,gmina kujawsko-pomorskie-południowy-01-06,wiejska,12465,52.39378,18.43964
0401007,0401,04,gmina kujawsko-pomorskie-południowy-01-07,wiejska,8059,52.42723,18.23623
0402001,0402,04,gmina kujawsko-pomorskie-wschodni-02-01,wiejska,32287,52.85802,19.062
0402002,0402,04,gmina kujawsko-pomorskie-wschodni-02-02,miejska,62824,52.95107,19.24598
0402003,0402,04,gmina kujawsko-pomorskie-wschodni-02-03,miejsko-wiejska,15020,53.1881,18.82774
0402004,0402,04,gmina kujawsko-pomorskie-wschodni-02-04,wiejska,7082,53.03463,18.89662
0402005,0402,04,gmina kujawsko-pomorskie-wschodni-02-05,wiejska,19316,53.08542,18.64925
0402006,0402,04,gmina kujawsko-pomorskie-wschodni-02-06,wiejska,13509,53.1816,18.94681
0402007,0402,04,gmina kujawsko-pomorskie-wschodni-02-07,wiejska,12864,53.02663,18.64591
0403001,0403,04,gmina kujawsko-pomorskie-zachodni-03-01,miejska,15704,53.05766,18.98136
0403002,0403,04,gmina kujawsko-pomorskie-zachodni-03-02,wiejska,7694,53.21307,18.37477
0403003,0403,04,gmina kujawsko-pomorskie-zachodni-03-03,wiejska,3739,53.41598,18.81006
0403004,0403,04,gmina kujawsko-pomorskie-zachodni-03-04,wiejska,10133,53.08948,19.20969
0403005,0403,04,gmina kujawsko-pomorskie-zachodni-03-05,miejska,24604,53.30798,19.37824
0403006,0403,04,gmina kujawsko-pomorskie-zachodni-03-06,wiejska,20747,53.23042,18.82363
0403007,0403,04,gmina kujawsko-pomorskie-zachodni-03-07,miejska,21986,53.33656,18.91635
0404001,0404,04,gmina kujawsko-pomorskie-centralny-04-01,miejsko-wiejska,6341,53.05821,18.22401
0404002,0404,04,gmina kujawsko-pomorskie-centralny-04-02,wiejska,33716,52.87928,18.58492
0404003,0404,04,gmina kujawsko-pomorskie-centralny-04-03,wiejska,10112,52.99266,18.10803
0404004,0404,04,gmina kujawsko-pomorskie-centralny-04-04,miejsko-wiejska,4772,52.92724,18.43354
0404005,0404,04,gmina kujawsko-pomorskie-centralny-04-05,miejska,27583,52.70025,17.98726
0404006,0404,04,gmina kujawsko-pomorskie-centralny-04-06,wiejska,3344,52.63769,18.26651
0404007,0404,04,gmina kujawsko-pomorskie-centralny-04-07,miejsko-wiejska,16277,52.86574,17.81623
0405001,0405,04,gmina kujawsko-pomorskie-miejski-05-01,wiejska,7199,53.30487,18.79302
0405002,0405,04,gmina kujawsko-pomorskie-miejski-05-02,wiejska,3283,53.27524,18.71889
0405003,0405,04,gmina kujawsko-pomorskie-miejski-05-03,miejsko-wiejska,10710,53.39926,18.41655
0405004,0405,04,gmina kujawsko-pomorskie-miejski-05-04,wiejska,9942,53.42712,18.24098
0405005,0405,04,gmina kujawsko-pomorskie-miejski-05-05,wiejska,13966,53.14754,18.45717
0405006,0405,04,gmina kujawsko-pomorskie-miejski-05-06,wiejska,9052,53.24591,18.39047
0405007,0405,04,gmina kujawsko-pomorskie-miejski-05-07,miejsko-wiejska,5508,53.18671,18.32759
0406001,0406,04,gmina kujawsko-pomorskie-północny-06-01,wiejska,4086,52.5572,17.65817
0406002,0406,04,gmina kujawsko-pomorskie-północny-06-02,miejsko-wiejska,12599,52.36165,17.76909
0406003,0406,04,gmina kujawsko-pomorskie-północny-06-03,miejsko-wiejska,5501,52.68751,17.93945
0406004,0406,04,gmina kujawsko-pomorskie-północny-06-04,wiejska,7106,52.58007,17.47632
0406005,0406,04,gmina kujawsko-pomorskie-północny-06-05,miejsko-wiejska,7889,52.77492,17.90184
0406006,0406,04,gmina kujawsko-pomorskie-północny-06-06,miejsko-wiejska,8451,52.5865,18.04685
0406007,0406,04,gmina kujawsko-pomorskie-północny-06-07,wiejska,2348,52.29654,17.91665
0407001,0407,04,gmina kujawsko-pomorskie-południowy-07-01,miejska,17270,52.82117,18.71356
0407002,0407,04,gmina kujawsko-pomorskie-południowy-07-02,wiejska,2442,52.48577,18.251
0407003,0407,04,gmina kujawsko-pomorskie-południowy-07-03,wiejska,7008,52.62612,18.69279
0407004,0407,04,gmina kujawsko-pomorskie-południowy-07-04,wiejska,15818,52.80642,18.74107
0407005,0407,04,gmina kujawsko-pomorskie-południowy-07-05,miejska,7161,52.73086,18.87896
0407006,0407,04,gmina kujawsko-pomorskie-południowy-07-06,miejsko-wiejska,9816,52.7782,18.55212
0407007,0407,04,gmina kujawsko-pomorskie-południowy-07-07,miejsko-wiejska,28153,52.52588,18.91579
0408001,0408,04,gmina kujawsko-pomorskie-wschodni-08-01,wiejska,2846,52.93319,19.16788
0408002,0408,04,gmina kujawsko-pomorskie-wschodni-08-02,wiejska,6892,53.16331,18.92479
0408003,0408,04,gmina kujawsko-pomorskie-wschodni-08-03,wiejska,7592,53.23142,18.8348
0408004,0408,04,gmina kujawsko-pomorskie-wschodni-08-04,miejsko-wiejska,2686,52.9497,18.9845
0408005,0408,04,gmina kujawsko-pomorskie-wschodni-08-05,miejska,34379,52.8504,18.74214
0408006,0408,04,gmina kujawsko-pomorskie-wschodni-08-06,wiejska,5649,53.00661,18.61835
0408007,0408,04,gmina kujawsko-pomorskie-wschodni-08-07,wiejska,5488,52.9594,19.02636
0409001,0409,04,gmina kujawsko-pomorskie-zachodni-09-01,wiejska,13381,52.81868,18.51271
0409002,0409,04,gmina kujawsko-pomorskie-zachodni-09-02,wiejska,8837,52.73149,18.3693
0409003,0409,04,gmina kujawsko-pomorskie-zachodni-09-03,wiejska,4523,52.75511,18.36614
0409004,0409,04,gmina kujawsko-pomorskie-zachodni-09-04,miejska,29746,52.9325,18.28565
0409005,0409,04,gmina kujawsko-pomorskie-zachodni-09-05,wiejska,8230,52.80905,18.65209
0409006,0409,04,gmina kujawsko-pomorskie-zachodni-09-06,miejsko-wiejska,8038,52.64867,18.34735
0409007,0409,04,gmina kujawsko-pomorskie-zachodni-09-07,wiejska,8252,52.97138,18.1665
0410001,0410,04,gmina kujawsko-pomorskie-centralny-10-01,wiejska,10040,53.39237,18.30079
0410002,0410,04,gmina kujawsko-pomorskie-centralny-10-02,miejska,37840,53.14632,18.30718
0410003,0410,04,gmina kujawsko-pomorskie-centralny-10-03,miejska,9848,52.93296,18.50899
0410004,0410,04,gmina kujawsko-pomorskie-centralny-10-04,miejska,14607,53.1785,18.06644
0410005,0410,04,gmina kujawsko-pomorskie-centralny-10-05,wiejska,3380,53.21512,18.19124
0410006,0410,04,gmina kujawsko-pomorskie-centralny-10-06,miejsko-wiejska,10242,53.29655,18.39082
0410007,0410,04,gmina kujawsko-pomorskie-centralny-10-07,wiejska,9394,53.44283,18.12702
0411001,0411,04,gmina kujawsko-pomorskie-miejski-11-01,wiejska,7831,53.32082,18.3762
0411002,0411,04,gmina kujawsko-pomorskie-miejski-11-02,miejsko-wiejska,3356,53.13296,18.39398
0411003,0411,04,gmina kujawsko-pomorskie-miejski-11-03,wiejska,11103,53.19895,18.09458
0411004,0411,04,gmina kujawsko-pomorskie-miejski-11-04,miejsko-wiejska,6387,53.21104,18.08799
0411005,0411,04,gmina kujawsko-pomorskie-miejski-11-05,wiejska,7891,53.18379,18.00711
0411006,0411,04,gmina kujawsko-pomorskie-miejski-11-06,wiejska,11270,53.55242,17.79831
