node_id,operator_name,contact_point_registered,protection_plan_status,protection_plan_age_days,data_sharing_agreement,responsiveness_score,last_contact_test
IK-01-00037,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,521,1,50.9,2025-10-27
IK-01-00038,OSD Zachód (fikc.),1,zatwierdzony,109,0,43.9,2026-04-02
IK-01-00039,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,1480,1,64.2,2025-12-07
IK-01-00040,Operator Przesyłowy S.A. (fikc.),0,w aktualizacji,1161,0,43.8,2026-05-31
IK-01-00042,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,88,0,16.9,2026-07-26
IK-01-00044,OSD Południe (fikc.),1,zatwierdzony,620,1,58.2,2026-06-06
IK-01-00046,OSD Zachód (fikc.),1,brak,563,0,21.1,2025-12-13
IK-01-00048,Paliwa Krajowe S.A. (fikc.),0,brak,1403,0,33.7,2025-09-22
IK-01-00049,OSD Zachód (fikc.),0,brak,1032,0,14.1,2026-01-19
IK-01-00050,OSD Zachód (fikc.),1,brak,1443,1,51.9,2026-07-12
IK-01-00051,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,496,1,64.1,2026-01-08
IK-01-00052,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,154,1,58.3,2026-08-06
IK-01-00053,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,577,1,51.5,2025-06-17
IK-01-00054,Gazoprzesył S.A. (fikc.),1,brak,434,0,7.0,2026-02-09
IK-01-00055,OSD Zachód (fikc.),1,zatwierdzony,1062,1,73.5,2026-05-24
IK-01-00056,Operator Przesyłowy S.A. (fikc.),1,brak,126,0,51.2,2026-03-05
IK-01-00058,Operator Przesyłowy S.A. (fikc.),1,brak,253,1,39.2,2026-07-24
IK-01-00059,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1311,1,57.9,2025-09-06
IK-01-00060,OSD Południe (fikc.),1,zatwierdzony,434,1,66.0,2026-06-04
IK-01-00061,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1174,0,43.8,2025-10-21
IK-01-00062,OSD Zachód (fikc.),1,w aktualizacji,550,1,26.7,2026-01-10
IK-01-00063,Paliwa Krajowe S.A. (fikc.),1,brak,99,1,56.1,2025-09-12
IK-01-00064,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,719,1,78.6,2025-08-06
IK-01-00065,OSD Zachód (fikc.),1,zatwierdzony,1267,1,72.6,2026-04-28
IK-01-00066,Gazoprzesył S.A. (fikc.),1,w aktualizacji,983,1,65.3,2026-04-21
IK-01-00067,OSD Zachód (fikc.),1,w aktualizacji,1016,1,69.7,2025-12-10
IK-01-00068,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,829,0,48.5,2026-02-27
IK-01-00070,OSD Południe (fikc.),1,zatwierdzony,912,1,78.3,2025-11-07
IK-01-00071,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,76,1,33.7,2025-06-15
IK-01-00072,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,483,0,36.4,2026-02-16
IK-01-00073,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,216,1,83.7,2026-06-09
IK-01-00074,Gazoprzesył S.A. (fikc.),0,w aktualizacji,284,0,51.4,2026-07-16
IK-01-00076,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,235,1,66.3,2025-07-25
IK-01-00077,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,1409,1,55.5,2026-02-22
IK-01-00078,OSD Zachód (fikc.),1,zatwierdzony,476,1,35.0,2026-04-11
IK-01-00079,OSD Południe (fikc.),1,zatwierdzony,100,1,43.9,2025-11-27
IK-01-00080,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,1445,1,60.0,2026-08-09
IK-01-00082,OSD Zachód (fikc.),1,w aktualizacji,906,0,10.3,2025-12-11
IK-01-00083,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,323,1,7.4,2026-08-07
IK-01-00085,OSD Zachód (fikc.),0,brak,883,0,44.2,2025-10-16
IK-01-00086,OSD Zachód (fikc.),1,w aktualizacji,1355,1,71.8,2026-03-24
IK-01-00087,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1471,1,71.6,2026-07-11
IK-01-00088,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,24,1,54.4,2025-10-27
IK-01-00089,OSD Południe (fikc.),1,zatwierdzony,1279,1,81.9,2026-05-16
IK-01-00090,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1262,0,57.5,2026-03-11
IK-01-00091,Gazoprzesył S.A. (fikc.),0,w aktualizacji,1396,0,34.0,2026-07-28
IK-01-00092,Operator Przesyłowy S.A. (fikc.),1,brak,1201,0,40.2,2025-11-09
IK-01-00096,OSD Zachód (fikc.),1,w aktualizacji,296,1,56.8,2026-08-06
IK-01-00097,Paliwa Krajowe S.A. (fikc.),0,brak,199,0,38.0,2026-03-13
IK-01-00098,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,363,1,65.5,2026-07-12
IK-01-00100,Gazoprzesył S.A. (fikc.),1,brak,1311,0,3,2026-04-22
IK-01-00101,OSD Zachód (fikc.),1,zatwierdzony,30,1,80.8,2025-10-01
IK-01-00102,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,756,0,52.8,2025-10-20
IK-01-00103,OSD Południe (fikc.),0,brak,1100,1,69.2,2025-06-19
IK-01-00104,Gazoprzesył S.A. (fikc.),0,zatwierdzony,979,1,63.7,2026-03-30
IK-01-00106,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,491,0,26.8,2026-04-07
IK-01-00108,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,1348,1,54.2,2025-09-10
IK-01-00110,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,765,0,43.9,2025-09-14
IK-01-00111,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1341,1,63.0,2026-02-04
IK-01-00113,OSD Południe (fikc.),1,zatwierdzony,813,1,62.0,2025-06-20
IK-01-00114,OSD Południe (fikc.),1,zatwierdzony,815,1,17.7,2025-10-07
IK-01-00115,OSD Zachód (fikc.),0,zatwierdzony,1436,1,59.4,2026-04-01
IK-01-00116,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,750,1,48.6,2026-04-20
IK-01-00117,OSD Zachód (fikc.),1,brak,1137,1,53.1,2026-03-21
IK-01-00118,OSD Południe (fikc.),1,w aktualizacji,492,1,52.7,2026-05-22
IK-01-00120,Gazoprzesył S.A. (fikc.),1,zatwierdzony,849,1,65.8,2025-12-15
IK-01-00121,OSD Południe (fikc.),1,brak,109,1,86.2,2025-05-25
IK-01-00122,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,479,1,51.4,2025-12-20
IK-01-00123,Gazoprzesył S.A. (fikc.),1,brak,657,0,3,2026-01-06
IK-01-00124,Operator Przesyłowy S.A. (fikc.),1,brak,1305,0,22.5,2026-02-12
IK-01-00125,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,92,1,52.4,2025-05-10
IK-01-00126,OSD Zachód (fikc.),1,brak,736,1,67.8,2025-05-09
IK-01-00127,OSD Południe (fikc.),1,brak,246,1,83.6,2026-01-19
IK-01-00130,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,929,1,55.5,2025-10-18
IK-01-00132,OSD Południe (fikc.),1,brak,844,0,21.2,2026-04-05
IK-01-00133,Gazoprzesył S.A. (fikc.),1,zatwierdzony,986,1,55.5,2025-10-10
IK-01-00134,OSD Południe (fikc.),1,zatwierdzony,1059,1,52.5,2025-09-01
IK-01-00136,OSD Zachód (fikc.),1,zatwierdzony,1136,1,39.5,2025-10-17
IK-01-00138,OSD Zachód (fikc.),0,brak,683,0,29.6,2026-06-06
IK-01-00140,Operator Przesyłowy S.A. (fikc.),0,w aktualizacji,631,0,52.2,2026-08-02
IK-01-00141,OSD Zachód (fikc.),1,zatwierdzony,614,1,84.5,2026-06-06
IK-01-00142,Gazoprzesył S.A. (fikc.),1,w aktualizacji,940,1,91.4,2025-11-12
IK-01-00143,Operator Przesyłowy S.A. (fikc.),0,brak,356,0,52.7,2025-05-15
IK-01-00144,OSD Południe (fikc.),0,w aktualizacji,1406,0,37.6,2026-03-03
IK-01-00145,OSD Południe (fikc.),0,brak,566,0,32.5,2025-08-11
IK-01-00146,OSD Zachód (fikc.),1,zatwierdzony,798,1,63.3,2026-05-30
IK-01-00148,OSD Południe (fikc.),1,w aktualizacji,453,1,72.1,2025-05-19
IK-01-00149,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,362,1,77.8,2026-08-08
IK-01-00150,Paliwa Krajowe S.A. (fikc.),1,brak,1268,0,39.1,2026-07-08
IK-01-00151,Gazoprzesył S.A. (fikc.),0,zatwierdzony,799,0,78.8,2026-07-25
IK-01-00152,OSD Zachód (fikc.),1,zatwierdzony,75,1,36.2,2025-10-28
IK-01-00154,OSD Zachód (fikc.),1,w aktualizacji,1464,1,57.1,2025-07-08
IK-01-00155,OSD Zachód (fikc.),1,brak,348,0,30.0,2025-09-07
IK-01-00156,OSD Południe (fikc.),1,zatwierdzony,958,1,43.5,2026-09-04
IK-01-00158,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,803,1,67.8,2025-07-19
IK-01-00159,OSD Zachód (fikc.),0,brak,1162,0,54.7,2026-08-11
IK-01-00160,OSD Zachód (fikc.),1,brak,360,1,46.2,2025-08-17
IK-01-00161,Operator Przesyłowy S.A. (fikc.),1,brak,528,1,59.2,2025-12-17
IK-01-00163,OSD Zachód (fikc.),1,zatwierdzony,402,1,100,2026-01-28
IK-01-00164,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1472,1,37.8,2026-05-18
IK-01-00167,OSD Południe (fikc.),0,zatwierdzony,1200,0,32.6,2025-07-22
IK-01-00169,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,1168,0,7.0,2026-08-02
IK-01-00170,Paliwa Krajowe S.A. (fikc.),0,brak,987,0,40.5,2025-08-18
IK-01-00171,OSD Południe (fikc.),1,w aktualizacji,931,1,76.2,2025-08-20
IK-01-00172,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,555,0,33.4,2025-12-29
IK-01-00173,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,809,0,38.2,2025-07-02
IK-01-00174,Gazoprzesył S.A. (fikc.),1,zatwierdzony,741,1,77.6,2025-07-27
IK-01-00175,OSD Zachód (fikc.),0,brak,1288,0,31.1,2025-11-19
IK-01-00176,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,548,0,28.4,2026-08-10
IK-01-00177,Gazoprzesył S.A. (fikc.),1,zatwierdzony,593,1,44.9,2026-04-15
IK-01-00178,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1112,1,54.5,2025-12-16
IK-01-00179,Gazoprzesył S.A. (fikc.),1,zatwierdzony,913,1,45.6,2026-01-13
IK-01-00180,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,926,1,60.6,2025-07-15
IK-01-00181,OSD Południe (fikc.),0,brak,494,0,11.4,2025-05-07
IK-01-00182,OSD Południe (fikc.),1,zatwierdzony,860,1,66.5,2026-01-26
IK-01-00183,OSD Południe (fikc.),0,w aktualizacji,1185,0,37.9,2025-12-06
IK-01-00185,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,269,0,22.5,2025-09-19
IK-01-00187,OSD Południe (fikc.),1,brak,827,1,75.6,2026-06-25
IK-01-00191,OSD Południe (fikc.),1,w aktualizacji,1150,1,47.9,2025-11-19
IK-01-00192,OSD Południe (fikc.),1,zatwierdzony,186,1,70.3,2025-11-10
IK-01-00193,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,629,1,64.0,2026-06-02
IK-01-00194,OSD Zachód (fikc.),1,zatwierdzony,1148,1,85.5,2026-08-04
IK-01-00195,OSD Południe (fikc.),1,zatwierdzony,1414,1,100,2025-07-10
IK-01-00196,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1288,1,44.3,2026-02-23
IK-01-00197,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,492,1,49.9,2025-05-07
IK-01-00199,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1412,1,93.8,2026-01-24
IK-01-00200,OSD Południe (fikc.),1,w aktualizacji,547,1,47.2,2026-02-02
IK-01-00201,OSD Południe (fikc.),1,w aktualizacji,29,1,55.2,2026-02-16
IK-01-00203,OSD Południe (fikc.),1,zatwierdzony,662,1,62.3,2025-12-09
IK-01-00204,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,616,1,54.0,2025-10-13
IK-01-00207,OSD Południe (fikc.),0,zatwierdzony,1493,0,77.6,2025-08-23
IK-01-00208,Operator Przesyłowy S.A. (fikc.),0,brak,498,0,35.2,2026-08-31
IK-01-00209,OSD Południe (fikc.),0,zatwierdzony,412,1,75.8,2026-02-27
IK-01-00210,Gazoprzesył S.A. (fikc.),1,zatwierdzony,767,1,27.2,2025-11-25
IK-01-00212,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,148,1,70.7,2025-08-28
IK-01-00213,OSD Południe (fikc.),1,zatwierdzony,442,1,91.7,2026-05-12
IK-01-00214,OSD Zachód (fikc.),1,zatwierdzony,169,1,49.9,2025-09-10
IK-01-00215,OSD Południe (fikc.),1,zatwierdzony,1238,1,67.2,2025-10-31
IK-01-00216,Operator Przesyłowy S.A. (fikc.),1,brak,608,1,38.3,2026-07-13
IK-01-00217,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,852,1,67.6,2026-06-26
IK-01-00218,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,353,1,64.1,2025-10-16
IK-01-00219,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1068,1,62.4,2025-10-31
IK-01-00220,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,381,0,49.6,2026-03-29
IK-01-00221,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1471,1,75.4,2026-07-09
IK-01-00224,OSD Południe (fikc.),0,w aktualizacji,736,0,26.1,2026-05-15
IK-01-00225,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1354,1,83.8,2026-02-14
IK-01-00227,OSD Zachód (fikc.),1,w aktualizacji,1149,1,48.6,2025-08-28
IK-01-00228,OSD Południe (fikc.),1,zatwierdzony,1088,1,90.6,2026-04-11
IK-01-00229,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,938,1,54.0,2026-07-08
IK-01-00230,Gazoprzesył S.A. (fikc.),1,brak,630,1,64.4,2025-11-24
IK-01-00232,Gazoprzesył S.A. (fikc.),1,w aktualizacji,357,0,28.8,2025-06-03
IK-01-00233,OSD Południe (fikc.),1,zatwierdzony,1273,1,80.3,2025-09-17
IK-01-00234,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1077,1,67.9,2026-01-05
IK-01-00236,Gazoprzesył S.A. (fikc.),0,brak,909,0,25.9,2026-07-05
IK-01-00237,OSD Południe (fikc.),1,w aktualizacji,1331,1,74.2,2025-06-08
IK-01-00238,OSD Południe (fikc.),1,zatwierdzony,1377,1,47.3,2025-09-26
IK-01-00239,Operator Przesyłowy S.A. (fikc.),1,brak,856,1,69.7,2026-08-15
IK-01-00240,OSD Południe (fikc.),1,w aktualizacji,575,1,60.8,2025-07-08
IK-01-00241,OSD Zachód (fikc.),1,w aktualizacji,1154,0,36.6,2025-10-27
IK-01-00242,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,582,1,55.5,2025-12-17
IK-01-00243,Paliwa Krajowe S.A. (fikc.),1,w aktualizacji,783,1,39.7,2025-06-17
IK-01-00244,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,578,1,88.9,2026-06-20
IK-01-00245,OSD Zachód (fikc.),1,brak,89,0,62.0,2025-06-28
IK-01-00246,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,83,1,60.9,2026-05-21
IK-01-00247,OSD Zachód (fikc.),1,zatwierdzony,657,1,77.9,2026-03-19
IK-01-00248,Gazoprzesył S.A. (fikc.),1,zatwierdzony,635,1,68.2,2026-06-09
IK-01-00249,OSD Południe (fikc.),1,zatwierdzony,576,1,53.5,2025-06-16
IK-01-00250,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1412,0,30.7,2026-02-09
IK-01-00252,Operator Przesyłowy S.A. (fikc.),1,brak,32,0,21.7,2026-02-11
IK-01-00254,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,961,1,70.1,2026-03-01
IK-01-00255,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,374,1,62.7,2025-08-12
IK-01-00256,OSD Zachód (fikc.),1,zatwierdzony,176,1,81.2,2025-06-10
IK-01-00257,OSD Południe (fikc.),1,w aktualizacji,290,1,53.2,2026-05-21
IK-01-00258,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1061,1,40.4,2025-07-16
IK-01-00260,OSD Południe (fikc.),1,w aktualizacji,1452,1,95.3,2025-09-19
IK-01-00261,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1244,1,63.7,2026-07-25
IK-01-00262,OSD Zachód (fikc.),1,zatwierdzony,551,1,52.7,2026-03-14
IK-01-00263,OSD Południe (fikc.),1,w aktualizacji,1107,1,76.9,2026-03-28
IK-01-00264,Operator Przesyłowy S.A. (fikc.),0,zatwierdzony,344,1,89.8,2025-10-21
IK-01-00265,Gazoprzesył S.A. (fikc.),1,zatwierdzony,372,0,29.6,2026-06-06
IK-01-00266,OSD Południe (fikc.),0,zatwierdzony,145,1,46.3,2026-03-20
IK-01-00267,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,301,1,82.3,2026-08-12
IK-01-00268,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,847,1,43.7,2026-08-12
IK-01-00270,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,572,1,45.5,2026-02-23
IK-01-00271,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,1150,1,78.8,2025-06-02
IK-01-00272,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,476,1,67.9,2025-06-14
IK-01-00273,OSD Zachód (fikc.),0,w aktualizacji,902,0,55.4,2025-12-27
IK-01-00276,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1495,1,25.8,2026-07-10
IK-01-00277,OSD Zachód (fikc.),0,brak,1297,0,26.0,2026-07-27
IK-01-00278,OSD Zachód (fikc.),0,w aktualizacji,745,0,45.1,2025-10-21
IK-01-00279,Gazoprzesył S.A. (fikc.),1,w aktualizacji,446,1,52.9,2026-07-30
IK-01-00280,OSD Zachód (fikc.),1,zatwierdzony,72,1,52.6,2025-08-18
IK-01-00281,OSD Południe (fikc.),1,w aktualizacji,249,0,40.4,2025-07-20
IK-01-00282,Operator Przesyłowy S.A. (fikc.),0,brak,280,0,32.8,2026-07-06
IK-01-00283,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,147,1,57.3,2025-07-31
IK-01-00285,Gazoprzesył S.A. (fikc.),1,zatwierdzony,773,1,46.7,2025-07-19
IK-01-00286,Paliwa Krajowe S.A. (fikc.),0,w aktualizacji,187,1,58.9,2026-09-06
IK-01-00287,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,727,1,76.5,2025-06-09
IK-01-00288,Gazoprzesył S.A. (fikc.),1,brak,1185,0,4.4,2025-07-16
IK-01-00290,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,815,1,80.1,2025-08-13
IK-01-00292,Operator Przesyłowy S.A. (fikc.),0,w aktualizacji,222,0,27.8,2025-11-11
IK-01-00294,OSD Południe (fikc.),1,brak,1139,1,27.6,2025-10-26
IK-01-00296,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,1490,1,81.9,2026-02-04
IK-01-00297,OSD Zachód (fikc.),1,brak,973,0,25.6,2026-07-22
IK-01-00300,OSD Zachód (fikc.),0,brak,229,0,36.6,2025-05-09
IK-01-00301,OSD Południe (fikc.),1,zatwierdzony,1070,1,60.4,2026-07-15
IK-01-00302,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,1013,1,53.7,2026-01-04
IK-01-00303,OSD Południe (fikc.),0,w aktualizacji,1469,1,43.1,2025-05-11
IK-01-00304,Gazoprzesył S.A. (fikc.),1,zatwierdzony,995,0,37.7,2026-08-12
IK-01-00305,OSD Zachód (fikc.),1,zatwierdzony,102,1,87.0,2025-11-25
IK-01-00306,Gazoprzesył S.A. (fikc.),0,zatwierdzony,820,0,9.0,2026-05-03
IK-01-00307,OSD Południe (fikc.),1,zatwierdzony,1190,1,19.2,2026-03-06
IK-01-00308,Paliwa Krajowe S.A. (fikc.),1,brak,1170,1,24.4,2026-06-23
IK-01-00309,Operator Przesyłowy S.A. (fikc.),1,brak,1450,1,86.6,2025-09-26
IK-01-00310,OSD Zachód (fikc.),1,zatwierdzony,136,1,59.5,2025-07-02
IK-01-00311,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1448,1,84.0,2025-10-21
IK-01-00312,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,740,1,31.5,2026-09-04
IK-01-00313,OSD Południe (fikc.),1,zatwierdzony,729,1,72.0,2025-05-12
IK-01-00314,Paliwa Krajowe S.A. (fikc.),0,brak,1393,0,27.0,2025-06-29
IK-01-00315,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,624,1,61.9,2025-08-30
IK-01-00316,OSD Zachód (fikc.),1,zatwierdzony,961,1,78.0,2026-05-14
IK-01-00318,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,928,1,54.9,2025-09-18
IK-01-00319,OSD Zachód (fikc.),1,w aktualizacji,34,1,76.0,2025-12-30
IK-01-00320,Gazoprzesył S.A. (fikc.),1,zatwierdzony,71,1,73.3,2025-11-10
IK-01-00321,Gazoprzesył S.A. (fikc.),1,zatwierdzony,493,1,66.3,2025-10-13
IK-01-00322,Operator Przesyłowy S.A. (fikc.),0,brak,214,0,9.2,2025-06-22
IK-01-00323,Gazoprzesył S.A. (fikc.),1,brak,703,1,64.5,2025-09-17
IK-01-00324,Gazoprzesył S.A. (fikc.),1,w aktualizacji,923,0,24.1,2025-08-26
IK-01-00325,OSD Zachód (fikc.),0,brak,987,0,52.2,2025-05-21
IK-01-00326,OSD Południe (fikc.),1,zatwierdzony,35,1,73.6,2026-08-04
IK-01-00327,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,869,1,63.9,2025-05-28
IK-01-00328,Paliwa Krajowe S.A. (fikc.),0,w aktualizacji,263,0,3,2025-11-21
IK-01-00329,OSD Zachód (fikc.),1,zatwierdzony,928,1,90.2,2025-07-09
IK-01-00331,OSD Zachód (fikc.),1,zatwierdzony,1469,1,63.9,2026-08-02
IK-01-00332,Gazoprzesył S.A. (fikc.),0,zatwierdzony,957,0,41.5,2026-06-14
IK-01-00334,OSD Zachód (fikc.),1,zatwierdzony,178,1,56.5,2025-11-21
IK-01-00335,Operator Przesyłowy S.A. (fikc.),1,w aktualizacji,124,1,100,2026-04-20
IK-01-00336,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,170,1,86.2,2026-09-01
IK-01-00338,Gazoprzesył S.A. (fikc.),1,zatwierdzony,321,1,76.0,2025-12-29
IK-01-00340,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1130,1,50.4,2025-09-05
IK-01-00342,Gazoprzesył S.A. (fikc.),1,brak,549,0,31.4,2025-11-02
IK-01-00343,Paliwa Krajowe S.A. (fikc.),0,zatwierdzony,617,1,72.9,2025-09-30
IK-01-00344,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,707,1,84.5,2026-07-27
IK-01-00345,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,985,1,57.1,2025-08-16
IK-01-00346,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,804,1,59.6,2026-01-07
IK-01-00347,OSD Południe (fikc.),0,brak,1079,0,55.1,2025-04-29
IK-01-00348,OSD Południe (fikc.),1,zatwierdzony,661,1,76.7,2026-09-05
IK-01-00349,OSD Zachód (fikc.),1,zatwierdzony,1338,1,75.5,2026-03-31
IK-01-00350,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,40,1,41.9,2026-01-22
IK-01-00351,OSD Zachód (fikc.),0,zatwierdzony,792,0,14.7,2025-08-07
IK-01-00352,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1098,0,44.7,2025-11-13
IK-01-00354,OSD Południe (fikc.),1,w aktualizacji,993,1,78.8,2026-01-17
IK-01-00355,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1478,1,48.2,2025-11-16
