edge_id,source_node_id,target_node_id,source_system,target_system,dependency_type,impact_share,lag_hours,redundancy_level,cross_voivodeship,contract_sla_hours,verified_in_exercise
E-000023,IK-01-00173,IK-02-00429,IK01,IK02,electricity,0.527,0.0,partial,0,7.7,0
E-000024,IK-01-00063,IK-02-00429,IK01,IK02,electricity,0.527,0.0,partial,0,7.0,0
E-000025,IK-03-00691,IK-02-00429,IK03,IK02,ict,0.454,0.7,none,0,16.7,0
E-000026,IK-01-00161,IK-02-00430,IK01,IK02,electricity,1.0,0.0,none,0,2.8,0
E-000027,IK-03-00733,IK-02-00430,IK03,IK02,ict,0.248,1.08,partial,0,5.0,0
E-000028,IK-03-00746,IK-02-00430,IK03,IK02,ict,0.248,0.73,partial,0,1.0,1
E-000029,IK-01-00045,IK-02-00431,IK01,IK02,electricity,0.511,0.0,partial,0,5.2,0
E-000030,IK-01-00171,IK-02-00431,IK01,IK02,electricity,0.511,0.0,partial,0,11.9,1
E-000031,IK-03-00829,IK-02-00431,IK03,IK02,ict,0.197,0.63,partial,0,7.4,0
E-000032,IK-03-00765,IK-02-00431,IK03,IK02,ict,0.197,0.76,partial,0,6.5,0
E-000033,IK-01-00160,IK-02-00432,IK01,IK02,electricity,0.961,0.0,none,0,4.7,1
E-000034,IK-03-00758,IK-02-00432,IK03,IK02,ict,0.236,0.76,full,0,12.2,1
E-000035,IK-03-00828,IK-02-00432,IK03,IK02,ict,0.236,0.73,full,0,9.9,0
E-000036,IK-01-00135,IK-02-00433,IK01,IK02,electricity,0.967,0.0,none,0,19.5,1
E-000037,IK-03-00783,IK-02-00433,IK03,IK02,ict,0.482,0.86,none,0,6.5,0
E-000038,IK-01-00102,IK-02-00434,IK01,IK02,electricity,1.0,0.0,none,0,10.4,0
E-000039,IK-03-00701,IK-02-00434,IK03,IK02,ict,0.419,0.93,none,0,7.0,1
E-000040,IK-01-00180,IK-02-00435,IK01,IK02,electricity,0.82,0.0,none,0,12.1,0
E-000041,IK-03-00817,IK-02-00435,IK03,IK02,ict,0.387,0.51,none,0,10.8,1
E-000042,IK-01-00047,IK-02-00436,IK01,IK02,electricity,0.929,0.0,none,0,4.4,0
E-000043,IK-03-00703,IK-02-00436,IK03,IK02,ict,0.441,1.06,none,0,8.5,0
E-000044,IK-01-00086,IK-02-00437,IK01,IK02,electricity,1.0,0.0,none,0,12.2,0
E-000045,IK-03-00814,IK-02-00437,IK03,IK02,ict,0.442,0.8,none,0,10.2,0
E-000046,IK-01-00156,IK-02-00438,IK01,IK02,electricity,0.846,0.0,none,0,12.2,0
E-000047,IK-03-00790,IK-02-00438,IK03,IK02,ict,0.227,0.99,full,0,2.5,1
E-000048,IK-03-00711,IK-02-00438,IK03,IK02,ict,0.227,0.94,full,0,13.5,0
E-000049,IK-01-00218,IK-02-00439,IK01,IK02,electricity,1.0,0.0,none,0,1.0,1
E-000050,IK-03-00750,IK-02-00439,IK03,IK02,ict,0.406,0.66,none,0,7.5,0
E-000051,IK-01-00191,IK-02-00440,IK01,IK02,electricity,0.881,0.0,none,0,2.3,0
E-000052,IK-03-00715,IK-02-00440,IK03,IK02,ict,0.236,0.93,partial,0,5.8,0
E-000053,IK-03-00728,IK-02-00440,IK03,IK02,ict,0.236,0.59,partial,0,4.8,0
E-000054,IK-01-00097,IK-02-00441,IK01,IK02,electricity,0.826,0.0,none,0,6.6,0
E-000055,IK-03-00809,IK-02-00441,IK03,IK02,ict,0.407,0.8,none,0,7.4,1
E-000056,IK-01-00226,IK-02-00442,IK01,IK02,electricity,0.515,0.0,full,0,7.4,0
E-000057,IK-01-00212,IK-02-00442,IK01,IK02,electricity,0.515,0.0,full,0,8.4,0
E-000058,IK-03-00787,IK-02-00442,IK03,IK02,ict,0.464,0.69,none,0,6.3,0
E-000059,IK-01-00042,IK-02-00443,IK01,IK02,electricity,1.0,0.0,none,0,12.7,1
E-000060,IK-03-00759,IK-02-00443,IK03,IK02,ict,0.214,0.9,partial,0,6.9,0
E-000061,IK-03-00800,IK-02-00443,IK03,IK02,ict,0.214,0.63,partial,0,6.1,0
E-000062,IK-01-00135,IK-02-00444,IK01,IK02,electricity,1.0,0.0,none,0,3.0,0
E-000063,IK-03-00820,IK-02-00444,IK03,IK02,ict,0.249,0.67,partial,0,12.9,1
E-000064,IK-03-00828,IK-02-00444,IK03,IK02,ict,0.249,0.9,partial,0,5.7,1
E-000065,IK-01-00087,IK-02-00445,IK01,IK02,electricity,0.489,0.0,partial,0,10.1,1
E-000066,IK-01-00156,IK-02-00445,IK01,IK02,electricity,0.489,0.0,partial,0,13.1,1
E-000067,IK-03-00790,IK-02-00445,IK03,IK02,ict,0.207,0.67,partial,0,3.8,1
E-000068,IK-03-00759,IK-02-00445,IK03,IK02,ict,0.207,0.6,partial,0,4.5,0
E-000069,IK-01-00213,IK-02-00446,IK01,IK02,electricity,0.434,0.0,partial,0,7.8,1
E-000070,IK-01-00134,IK-02-00446,IK01,IK02,electricity,0.434,0.0,partial,0,7.8,0
E-000071,IK-03-00748,IK-02-00446,IK03,IK02,ict,0.212,0.9,full,0,19.0,1
E-000072,IK-03-00773,IK-02-00446,IK03,IK02,ict,0.212,1.02,full,0,6.1,1
E-000073,IK-01-00232,IK-02-00447,IK01,IK02,electricity,0.816,0.0,none,0,5.5,1
E-000074,IK-03-00808,IK-02-00447,IK03,IK02,ict,0.242,0.94,partial,0,3.0,0
E-000075,IK-03-00803,IK-02-00447,IK03,IK02,ict,0.242,1.08,partial,0,11.1,0
E-000076,IK-01-00061,IK-02-00448,IK01,IK02,electricity,1.0,0.0,none,0,10.6,0
E-000077,IK-03-00776,IK-02-00448,IK03,IK02,ict,0.478,1.06,none,0,9.6,0
E-000078,IK-01-00213,IK-02-00449,IK01,IK02,electricity,1.0,0.0,none,0,2.8,0
E-000079,IK-03-00819,IK-02-00449,IK03,IK02,ict,0.489,0.51,none,0,5.0,0
E-000080,IK-01-00173,IK-02-00450,IK01,IK02,electricity,0.86,0.0,none,0,6.8,1
E-000081,IK-03-00691,IK-02-00450,IK03,IK02,ict,0.475,0.87,none,0,11.2,1
E-000082,IK-01-00128,IK-02-00451,IK01,IK02,electricity,1.0,0.0,none,0,7.1,0
E-000083,IK-03-00758,IK-02-00451,IK03,IK02,ict,0.444,0.85,none,0,10.8,0
E-000084,IK-01-00189,IK-02-00452,IK01,IK02,electricity,0.469,0.0,partial,0,1.0,0
E-000085,IK-01-00054,IK-02-00452,IK01,IK02,electricity,0.469,0.0,partial,0,8.9,1
E-000086,IK-03-00707,IK-02-00452,IK03,IK02,ict,0.439,0.65,none,0,5.8,1
E-000087,IK-01-00169,IK-02-00453,IK01,IK02,electricity,0.43,0.0,full,0,1.0,0
E-000088,IK-01-00179,IK-02-00453,IK01,IK02,electricity,0.43,0.0,full,0,2.9,0
E-000089,IK-03-00700,IK-02-00453,IK03,IK02,ict,0.455,1.09,none,0,1.0,0
E-000090,IK-01-00125,IK-02-00454,IK01,IK02,electricity,0.982,0.0,none,0,5.5,0
E-000091,IK-03-00801,IK-02-00454,IK03,IK02,ict,0.407,0.75,none,0,4.8,0
E-000092,IK-01-00217,IK-02-00455,IK01,IK02,electricity,0.99,0.0,none,0,2.2,1
E-000093,IK-03-00726,IK-02-00455,IK03,IK02,ict,0.396,0.86,none,0,13.2,0
E-000094,IK-01-00050,IK-02-00456,IK01,IK02,electricity,0.854,0.0,none,0,5.5,0
E-000095,IK-03-00820,IK-02-00456,IK03,IK02,ict,0.423,0.81,none,0,2.4,1
E-000096,IK-01-00227,IK-02-00457,IK01,IK02,electricity,0.87,0.0,none,0,4.3,1
E-000097,IK-03-00723,IK-02-00457,IK03,IK02,ict,0.201,0.98,partial,0,8.6,0
E-000098,IK-03-00720,IK-02-00457,IK03,IK02,ict,0.201,0.77,partial,0,9.7,0
E-000099,IK-01-00185,IK-02-00458,IK01,IK02,electricity,0.822,0.0,none,0,7.3,0
E-000100,IK-03-00765,IK-02-00458,IK03,IK02,ict,0.426,0.91,none,0,11.3,0
E-000101,IK-01-00129,IK-02-00459,IK01,IK02,electricity,0.482,0.0,partial,0,14.7,1
E-000102,IK-01-00122,IK-02-00459,IK01,IK02,electricity,0.482,0.0,partial,0,6.7,0
E-000103,IK-03-00702,IK-02-00459,IK03,IK02,ict,0.211,0.84,partial,0,12.6,1
E-000104,IK-03-00814,IK-02-00459,IK03,IK02,ict,0.211,0.96,partial,0,4.9,0
E-000105,IK-01-00109,IK-02-00460,IK01,IK02,electricity,0.85,0.0,none,0,7.3,0
E-000106,IK-03-00725,IK-02-00460,IK03,IK02,ict,0.469,0.73,none,0,2.2,0
E-000107,IK-01-00066,IK-02-00461,IK01,IK02,electricity,0.928,0.0,none,0,5.9,1
E-000108,IK-03-00714,IK-02-00461,IK03,IK02,ict,0.42,0.52,none,0,2.1,0
E-000109,IK-01-00049,IK-02-00462,IK01,IK02,electricity,0.92,0.0,none,0,8.9,1
E-000110,IK-03-00764,IK-02-00462,IK03,IK02,ict,0.199,0.77,partial,0,7.3,1
E-000111,IK-03-00796,IK-02-00462,IK03,IK02,ict,0.199,0.57,partial,0,8.3,1
E-000112,IK-01-00047,IK-02-00463,IK01,IK02,electricity,0.942,0.0,none,0,6.7,1
E-000113,IK-03-00703,IK-02-00463,IK03,IK02,ict,0.476,0.79,none,0,4.5,0
E-000114,IK-01-00078,IK-02-00464,IK01,IK02,electricity,0.893,0.0,none,0,2.2,0
E-000115,IK-03-00712,IK-02-00464,IK03,IK02,ict,0.467,0.76,none,0,8.2,1
E-000116,IK-01-00119,IK-02-00465,IK01,IK02,electricity,0.824,0.0,none,0,13.5,1
E-000117,IK-03-00695,IK-02-00465,IK03,IK02,ict,0.49,0.61,none,0,7.8,0
E-000118,IK-01-00161,IK-02-00466,IK01,IK02,electricity,0.822,0.0,none,0,9.7,1
E-000119,IK-03-00710,IK-02-00466,IK03,IK02,ict,0.21,0.79,partial,0,9.3,0
E-000120,IK-03-00733,IK-02-00466,IK03,IK02,ict,0.21,0.96,partial,0,6.4,0
E-000121,IK-01-00177,IK-02-00467,IK01,IK02,electricity,0.829,0.0,none,0,11.9,0
E-000122,IK-03-00789,IK-02-00467,IK03,IK02,ict,0.216,0.93,partial,0,8.5,0
E-000123,IK-03-00771,IK-02-00467,IK03,IK02,ict,0.216,0.85,partial,0,8.2,0
E-000124,IK-01-00093,IK-02-00468,IK01,IK02,electricity,0.997,0.0,none,0,2.4,0
E-000125,IK-03-00826,IK-02-00468,IK03,IK02,ict,0.208,0.99,full,0,9.0,0
E-000126,IK-03-00709,IK-02-00468,IK03,IK02,ict,0.208,0.71,full,0,8.8,0
E-000127,IK-01-00198,IK-02-00469,IK01,IK02,electricity,0.887,0.0,none,0,4.4,1
E-000128,IK-03-00785,IK-02-00469,IK03,IK02,ict,0.484,0.63,none,0,2.4,1
E-000129,IK-01-00215,IK-02-00470,IK01,IK02,electricity,0.985,0.0,none,0,9.8,0
E-000130,IK-03-00744,IK-02-00470,IK03,IK02,ict,0.389,0.74,none,0,8.5,1
E-000131,IK-01-00204,IK-02-00471,IK01,IK02,electricity,0.887,0.0,none,0,2.1,0
E-000132,IK-03-00784,IK-02-00471,IK03,IK02,ict,0.247,0.56,partial,0,8.1,1
E-000133,IK-03-00708,IK-02-00471,IK03,IK02,ict,0.247,0.81,partial,0,13.0,0
E-000134,IK-01-00119,IK-02-00472,IK01,IK02,electricity,0.846,0.0,none,0,10.3,1
E-000135,IK-03-00749,IK-02-00472,IK03,IK02,ict,0.492,0.63,none,0,8.7,0
E-000136,IK-01-00109,IK-02-00473,IK01,IK02,electricity,1.0,0.0,none,0,1.1,0
E-000137,IK-03-00725,IK-02-00473,IK03,IK02,ict,0.205,0.87,full,0,15.2,0
E-000138,IK-03-00690,IK-02-00473,IK03,IK02,ict,0.205,0.75,full,0,10.3,0
E-000139,IK-01-00195,IK-02-00474,IK01,IK02,electricity,0.416,0.0,full,0,1.0,0
E-000140,IK-01-00094,IK-02-00474,IK01,IK02,electricity,0.416,0.0,full,0,5.4,0
E-000141,IK-03-00781,IK-02-00474,IK03,IK02,ict,0.483,1.02,none,0,6.7,1
E-000142,IK-01-00222,IK-02-00475,IK01,IK02,electricity,0.461,0.0,partial,0,6.2,0
E-000143,IK-01-00053,IK-02-00475,IK01,IK02,electricity,0.461,0.0,partial,0,15.6,0
E-000144,IK-03-00713,IK-02-00475,IK03,IK02,ict,0.471,0.91,none,0,9.0,1
E-000145,IK-01-00217,IK-02-00476,IK01,IK02,electricity,1.0,0.0,none,0,2.6,0
E-000146,IK-03-00763,IK-02-00476,IK03,IK02,ict,0.421,1.06,none,0,6.2,1
E-000147,IK-01-00117,IK-02-00477,IK01,IK02,electricity,0.845,0.0,none,0,9.6,0
E-000148,IK-03-00683,IK-02-00477,IK03,IK02,ict,0.248,1.1,partial,0,4.6,1
E-000149,IK-03-00705,IK-02-00477,IK03,IK02,ict,0.248,0.65,partial,0,5.0,1
E-000150,IK-01-00218,IK-02-00478,IK01,IK02,electricity,0.489,0.0,full,0,6.4,1
E-000151,IK-01-00047,IK-02-00478,IK01,IK02,electricity,0.489,0.0,full,0,5.4,1
E-000152,IK-03-00750,IK-02-00478,IK03,IK02,ict,0.198,0.64,full,0,7.9,0
E-000153,IK-03-00740,IK-02-00478,IK03,IK02,ict,0.198,0.58,full,0,6.3,0
E-000154,IK-01-00193,IK-02-00479,IK01,IK02,electricity,0.906,0.0,none,0,10.8,0
E-000155,IK-03-00764,IK-02-00479,IK03,IK02,ict,0.436,0.54,none,0,7.3,0
E-000156,IK-01-00073,IK-02-00480,IK01,IK02,electricity,1.0,0.0,none,0,3.9,0
E-000157,IK-03-00753,IK-02-00480,IK03,IK02,ict,0.465,1.04,none,0,12.8,0
E-000158,IK-01-00060,IK-02-00481,IK01,IK02,electricity,0.834,0.0,none,0,3.1,0
E-000159,IK-03-00772,IK-02-00481,IK03,IK02,ict,0.409,0.91,none,0,13.6,0
E-000160,IK-01-00106,IK-02-00482,IK01,IK02,electricity,0.968,0.0,none,0,14.7,0
E-000161,IK-03-00741,IK-02-00482,IK03,IK02,ict,0.439,0.86,none,0,1.0,0
E-000162,IK-01-00231,IK-02-00483,IK01,IK02,electricity,0.448,0.0,partial,0,12.0,1
E-000163,IK-01-00109,IK-02-00483,IK01,IK02,electricity,0.448,0.0,partial,0,8.0,0
E-000164,IK-03-00818,IK-02-00483,IK03,IK02,ict,0.23,0.7,partial,0,1.0,1
E-000165,IK-03-00725,IK-02-00483,IK03,IK02,ict,0.23,0.5,partial,0,5.1,0
E-000166,IK-01-00165,IK-02-00484,IK01,IK02,electricity,0.962,0.0,none,0,7.3,0
E-000167,IK-03-00770,IK-02-00484,IK03,IK02,ict,0.479,0.65,none,0,9.7,0
E-000168,IK-01-00207,IK-02-00485,IK01,IK02,electricity,0.912,0.0,none,0,7.6,1
E-000169,IK-03-00791,IK-02-00485,IK03,IK02,ict,0.457,0.85,none,0,7.0,1
E-000170,IK-01-00086,IK-02-00486,IK01,IK02,electricity,0.966,0.0,none,0,8.0,0
E-000171,IK-03-00814,IK-02-00486,IK03,IK02,ict,0.233,0.68,partial,0,3.6,0
E-000172,IK-03-00702,IK-02-00486,IK03,IK02,ict,0.233,0.7,partial,0,1.0,0
E-000173,IK-01-00221,IK-02-00487,IK01,IK02,electricity,0.809,0.0,none,0,8.9,1
E-000174,IK-03-00698,IK-02-00487,IK03,IK02,ict,0.242,1.08,partial,0,13.4,0
E-000175,IK-03-00771,IK-02-00487,IK03,IK02,ict,0.242,0.67,partial,0,7.3,0
E-000176,IK-01-00191,IK-02-00488,IK01,IK02,electricity,0.818,0.0,none,0,6.0,0
E-000177,IK-03-00728,IK-02-00488,IK03,IK02,ict,0.198,0.66,partial,0,2.7,0
E-000178,IK-03-00715,IK-02-00488,IK03,IK02,ict,0.198,0.97,partial,0,10.2,0
E-000179,IK-01-00113,IK-02-00489,IK01,IK02,electricity,0.888,0.0,none,0,3.3,0
E-000180,IK-03-00738,IK-02-00489,IK03,IK02,ict,0.24,0.84,partial,0,1.0,0
E-000181,IK-03-00689,IK-02-00489,IK03,IK02,ict,0.24,0.93,partial,0,1.0,1
E-000182,IK-01-00065,IK-02-00490,IK01,IK02,electricity,1.0,0.0,none,0,12.4,0
E-000183,IK-03-00741,IK-02-00490,IK03,IK02,ict,0.467,0.96,none,0,16.2,0
E-000184,IK-01-00107,IK-02-00491,IK01,IK02,electricity,0.948,0.0,none,0,12.7,0
E-000185,IK-03-00684,IK-02-00491,IK03,IK02,ict,0.483,1.0,none,0,6.8,0
E-000186,IK-01-00194,IK-02-00492,IK01,IK02,electricity,0.514,0.0,partial,0,5.1,0
E-000187,IK-01-00175,IK-02-00492,IK01,IK02,electricity,0.514,0.0,partial,0,18.4,0
E-000188,IK-03-00686,IK-02-00492,IK03,IK02,ict,0.234,1.01,partial,0,8.6,1
E-000189,IK-03-00685,IK-02-00492,IK03,IK02,ict,0.234,1.06,partial,0,12.1,0
E-000190,IK-01-00089,IK-02-00493,IK01,IK02,electricity,0.997,0.0,none,0,9.5,0
E-000191,IK-03-00694,IK-02-00493,IK03,IK02,ict,0.427,0.93,none,0,6.8,0
E-000192,IK-01-00119,IK-02-00494,IK01,IK02,electricity,0.443,0.0,partial,0,3.7,0
E-000193,IK-01-00078,IK-02-00494,IK01,IK02,electricity,0.443,0.0,partial,0,13.1,1
E-000194,IK-03-00727,IK-02-00494,IK03,IK02,ict,0.244,0.54,partial,0,6.6,0
E-000195,IK-03-00749,IK-02-00494,IK03,IK02,ict,0.244,0.96,partial,0,5.2,0
E-000196,IK-01-00060,IK-02-00495,IK01,IK02,electricity,0.459,0.0,partial,0,1.5,0
E-000197,IK-01-00167,IK-02-00495,IK01,IK02,electricity,0.459,0.0,partial,0,10.0,0
E-000198,IK-03-00772,IK-02-00495,IK03,IK02,ict,0.494,0.69,none,0,10.8,0
E-000199,IK-01-00105,IK-02-00496,IK01,IK02,electricity,0.829,0.0,none,0,1.5,0
E-000200,IK-03-00766,IK-02-00496,IK03,IK02,ict,0.229,0.67,partial,0,10.0,0
E-000201,IK-03-00715,IK-02-00496,IK03,IK02,ict,0.229,0.55,partial,0,2.8,0
E-000202,IK-01-00145,IK-02-00497,IK01,IK02,electricity,0.978,0.0,none,0,11.8,0
E-000203,IK-03-00684,IK-02-00497,IK03,IK02,ict,0.2,0.81,partial,0,8.5,0
E-000204,IK-03-00780,IK-02-00497,IK03,IK02,ict,0.2,0.81,partial,0,4.4,0
E-000205,IK-01-00231,IK-02-00498,IK01,IK02,electricity,0.991,0.0,none,0,9.3,1
E-000206,IK-03-00818,IK-02-00498,IK03,IK02,ict,0.397,0.82,none,0,1.0,0
E-000207,IK-01-00214,IK-02-00499,IK01,IK02,electricity,0.408,0.0,partial,0,5.8,1
E-000208,IK-01-00057,IK-02-00499,IK01,IK02,electricity,0.408,0.0,partial,0,8.2,1
E-000209,IK-03-00682,IK-02-00499,IK03,IK02,ict,0.392,0.95,none,0,12.8,1
E-000210,IK-01-00194,IK-02-00500,IK01,IK02,electricity,0.518,0.0,partial,0,5.9,0
E-000211,IK-01-00079,IK-02-00500,IK01,IK02,electricity,0.518,0.0,partial,0,12.0,0
E-000212,IK-03-00686,IK-02-00500,IK03,IK02,ict,0.437,0.89,none,0,7.2,0
E-000213,IK-01-00145,IK-02-00501,IK01,IK02,electricity,0.826,0.0,none,0,9.0,1
E-000214,IK-03-00684,IK-02-00501,IK03,IK02,ict,0.483,0.64,none,0,10.4,0
E-000215,IK-01-00173,IK-02-00502,IK01,IK02,electricity,0.932,0.0,none,0,8.4,1
E-000216,IK-03-00691,IK-02-00502,IK03,IK02,ict,0.249,0.92,partial,0,10.0,1
E-000217,IK-03-00805,IK-02-00502,IK03,IK02,ict,0.249,1.1,partial,0,14.9,1
E-000218,IK-01-00102,IK-02-00503,IK01,IK02,electricity,0.997,0.0,none,0,4.8,1
E-000219,IK-03-00701,IK-02-00503,IK03,IK02,ict,0.461,0.59,none,0,6.0,0
E-000220,IK-01-00146,IK-02-00504,IK01,IK02,electricity,0.828,0.0,none,0,2.7,0
E-000221,IK-03-00774,IK-02-00504,IK03,IK02,ict,0.213,0.55,partial,0,4.6,0
E-000222,IK-03-00685,IK-02-00504,IK03,IK02,ict,0.213,0.53,partial,0,9.1,1
E-000223,IK-01-00212,IK-02-00505,IK01,IK02,electricity,0.42,0.0,partial,0,8.7,0
E-000224,IK-01-00223,IK-02-00505,IK01,IK02,electricity,0.42,0.0,partial,0,13.8,0
E-000225,IK-03-00777,IK-02-00505,IK03,IK02,ict,0.211,0.75,partial,0,4.8,1
E-000226,IK-03-00787,IK-02-00505,IK03,IK02,ict,0.211,0.53,partial,0,1.0,0
E-000227,IK-01-00103,IK-02-00506,IK01,IK02,electricity,0.503,0.0,partial,0,14.8,0
E-000228,IK-01-00117,IK-02-00506,IK01,IK02,electricity,0.503,0.0,partial,0,14.2,1
E-000229,IK-03-00706,IK-02-00506,IK03,IK02,ict,0.403,0.68,none,0,7.9,0
E-000230,IK-01-00104,IK-02-00507,IK01,IK02,electricity,0.421,0.0,partial,0,10.5,1
E-000231,IK-01-00239,IK-02-00507,IK01,IK02,electricity,0.421,0.0,partial,0,9.3,1
E-000232,IK-03-00811,IK-02-00507,IK03,IK02,ict,0.479,1.09,none,0,1.0,1
E-000233,IK-01-00054,IK-02-00508,IK01,IK02,electricity,0.965,0.0,none,0,8.4,1
E-000234,IK-03-00707,IK-02-00508,IK03,IK02,ict,0.442,0.72,none,0,7.9,1
E-000235,IK-01-00120,IK-02-00509,IK01,IK02,electricity,0.532,0.0,partial,0,10.5,1
E-000236,IK-01-00082,IK-02-00509,IK01,IK02,electricity,0.532,0.0,partial,0,10.0,1
E-000237,IK-03-00810,IK-02-00509,IK03,IK02,ict,0.48,0.83,none,0,11.4,1
E-000238,IK-01-00051,IK-02-00510,IK01,IK02,electricity,0.927,0.0,none,0,1.0,0
E-000239,IK-03-00686,IK-02-00510,IK03,IK02,ict,0.404,0.62,none,0,7.5,1
E-000240,IK-01-00116,IK-02-00511,IK01,IK02,electricity,0.937,0.0,none,0,12.4,0
E-000241,IK-03-00696,IK-02-00511,IK03,IK02,ict,0.2,0.51,partial,0,12.6,0
E-000242,IK-03-00761,IK-02-00511,IK03,IK02,ict,0.2,0.62,partial,0,3.8,1
E-000243,IK-01-00223,IK-02-00512,IK01,IK02,electricity,0.948,0.0,none,0,7.0,1
E-000244,IK-03-00757,IK-02-00512,IK03,IK02,ict,0.434,0.94,none,0,13.6,1
E-000245,IK-01-00060,IK-02-00513,IK01,IK02,electricity,0.998,0.0,none,0,14.8,0
E-000246,IK-03-00768,IK-02-00513,IK03,IK02,ict,0.494,0.73,none,0,8.6,0
E-000247,IK-01-00110,IK-02-00514,IK01,IK02,electricity,0.95,0.0,none,0,8.9,0
E-000248,IK-03-00738,IK-02-00514,IK03,IK02,ict,0.503,0.76,none,0,13.4,1
E-000249,IK-01-00186,IK-02-00515,IK01,IK02,electricity,0.959,0.0,none,0,9.2,0
E-000250,IK-03-00799,IK-02-00515,IK03,IK02,ict,0.388,0.75,none,0,8.0,1
E-000251,IK-01-00096,IK-02-00516,IK01,IK02,electricity,0.942,0.0,none,0,10.6,0
E-000252,IK-03-00736,IK-02-00516,IK03,IK02,ict,0.233,0.83,partial,0,9.0,1
E-000253,IK-03-00722,IK-02-00516,IK03,IK02,ict,0.233,0.66,partial,0,9.5,1
E-000254,IK-01-00043,IK-02-00517,IK01,IK02,electricity,0.849,0.0,none,0,5.2,0
E-000255,IK-03-00819,IK-02-00517,IK03,IK02,ict,0.491,1.09,none,0,7.4,0
E-000256,IK-01-00129,IK-02-00518,IK01,IK02,electricity,1.0,0.0,none,0,13.6,0
E-000257,IK-03-00702,IK-02-00518,IK03,IK02,ict,0.41,0.97,none,0,8.2,1
E-000258,IK-01-00163,IK-02-00519,IK01,IK02,electricity,0.531,0.0,partial,0,10.7,0
E-000259,IK-01-00148,IK-02-00519,IK01,IK02,electricity,0.531,0.0,partial,0,12.0,0
E-000260,IK-03-00719,IK-02-00519,IK03,IK02,ict,0.2,0.85,partial,0,8.1,0
E-000261,IK-03-00752,IK-02-00519,IK03,IK02,ict,0.2,1.08,partial,0,11.5,0
E-000262,IK-01-00041,IK-02-00520,IK01,IK02,electricity,0.848,0.0,none,0,4.1,0
E-000263,IK-03-00683,IK-02-00520,IK03,IK02,ict,0.462,0.6,none,0,7.5,0
E-000264,IK-01-00059,IK-02-00521,IK01,IK02,electricity,0.897,0.0,none,0,6.5,1
E-000265,IK-03-00738,IK-02-00521,IK03,IK02,ict,0.452,0.96,none,0,6.6,0
E-000266,IK-01-00202,IK-02-00522,IK01,IK02,electricity,0.847,0.0,none,0,4.7,1
E-000267,IK-03-00699,IK-02-00522,IK03,IK02,ict,0.478,0.8,none,0,6.3,0
E-000268,IK-01-00156,IK-02-00523,IK01,IK02,electricity,0.937,0.0,none,0,5.1,1
E-000269,IK-03-00759,IK-02-00523,IK03,IK02,ict,0.249,0.94,partial,0,2.0,0
E-000270,IK-03-00800,IK-02-00523,IK03,IK02,ict,0.249,0.74,partial,0,13.1,0
E-000271,IK-01-00145,IK-02-00524,IK01,IK02,electricity,0.444,0.0,partial,0,10.6,1
E-000272,IK-01-00072,IK-02-00524,IK01,IK02,electricity,0.444,0.0,partial,0,8.1,0
