node_id,node_name,system_code,voivodeship_code,criticality_class,operator_name,protection_plan_status,responsiveness_score,population_served
IK-09-01899,centrum powiadamiania ratunkowego dolnośląskie-północny-12-05-01899,IK09,02,K1,Urząd Wojewódzki (fikc.),zatwierdzony,47.5,1667688
IK-03-00804,system rejestrów państwowych dolnośląskie-miejski-05-07-00804,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,62.7,1657347
IK-03-00700,centrum przetwarzania danych dolnośląskie-północny-06-04-00700,IK03,02,K1,Centrum Informatyki Państwowej (fikc.),brak,3.0,1587876
IK-04-00834,centrum rozliczeniowe zachodniopomorskie-północny-12-05-00834,IK04,32,K1,Izba Rozliczeniowa (fikc.),brak,82.4,1545639
IK-03-00803,system rejestrów państwowych małopolskie-centralny-16-03-00803,IK03,12,K1,Chmura Krajowa Sp. z o.o. (fikc.),,,1516502
IK-09-01896,centrum powiadamiania ratunkowego podkarpackie-południowy-07-02-01896,IK09,18,K1,Urząd Wojewódzki (fikc.),brak,30.1,1494764
IK-03-00705,centrum przetwarzania danych warmińsko-mazurskie-wschodni-08-06-00705,IK03,28,K1,Centrum Informatyki Państwowej (fikc.),brak,61.2,1472922
IK-01-00015,stacja NN 400/220 kV zachodniopomorskie-południowy-07-06-00015,IK01,32,K1,Paliwa Krajowe S.A. (fikc.),,,1455144
IK-02-00427,węzeł szkieletowy telekom opolskie-południowy-01-01-00427,IK02,16,K2,Telko Alfa S.A. (fikc.),w aktualizacji,3.0,1431113
IK-09-01903,centrum powiadamiania ratunkowego dolnośląskie-centralny-28-03-01903,IK09,02,K1,Urząd Wojewódzki (fikc.),brak,43.0,1389490
IK-03-00809,system rejestrów państwowych podkarpackie-wschodni-20-02-00809,IK03,18,K2,Centrum Informatyki Państwowej (fikc.),,,1386199
IK-04-00838,centrum rozliczeniowe dolnośląskie-centralny-04-01-00838,IK04,02,K2,Bank Regionalny S.A. (fikc.),,,1382703
IK-03-00691,centrum przetwarzania danych zachodniopomorskie-centralny-04-04-00691,IK03,32,K1,Centrum Informatyki Państwowej (fikc.),w aktualizacji,3.0,1367534
IK-09-01894,centrum powiadamiania ratunkowego łódzkie-zachodni-21-04-01894,IK09,10,K2,Komenda Wojewódzka PSP (fikc.),,,1363201
IK-03-00792,system rejestrów państwowych warmińsko-mazurskie-miejski-05-03-00792,IK03,28,K2,Chmura Krajowa Sp. z o.o. (fikc.),brak,43.5,1360203
IK-03-00788,system rejestrów państwowych dolnośląskie-południowy-07-06-00788,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,46.9,1304623
IK-03-00707,centrum przetwarzania danych świętokrzyskie-wschodni-08-03-00707,IK03,26,K1,Centrum Informatyki Państwowej (fikc.),brak,30.0,1293709
IK-09-01906,centrum powiadamiania ratunkowego warmińsko-mazurskie-wschodni-20-01-01906,IK09,28,K2,Komenda Wojewódzka PSP (fikc.),,,1291654
IK-03-00818,system rejestrów państwowych opolskie-zachodni-09-02-00818,IK03,16,K2,Centrum Informatyki Państwowej (fikc.),,,1288600
IK-04-00878,centrum przetwarzania banku dolnośląskie-miejski-11-05-00878,IK04,02,K2,Izba Rozliczeniowa (fikc.),,,1286880
IK-03-00821,system rejestrów państwowych małopolskie-południowy-13-03-00821,IK03,12,K1,Chmura Krajowa Sp. z o.o. (fikc.),,,1268222
IK-02-00476,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476,IK02,02,K2,Telko Beta S.A. (fikc.),brak,31.7,1252150
IK-04-00837,centrum rozliczeniowe dolnośląskie-miejski-23-05-00837,IK04,02,K2,Izba Rozliczeniowa (fikc.),,,1245366
IK-09-01889,centrum powiadamiania ratunkowego kujawsko-pomorskie-południowy-13-02-01889,IK09,04,K1,Komenda Wojewódzka PSP (fikc.),brak,88.6,1235184
IK-03-00709,centrum przetwarzania danych podkarpackie-wschodni-20-03-00709,IK03,18,K1,Centrum Informatyki Państwowej (fikc.),,,1217658
IK-03-00681,centrum przetwarzania danych zachodniopomorskie-miejski-11-02-00681,IK03,32,K1,Centrum Informatyki Państwowej (fikc.),,,1205382
IK-09-01920,baza lotniczego pogotowia mazowieckie-południowy-01-03-01920,IK09,14,K2,Komenda Wojewódzka PSP (fikc.),w aktualizacji,32.5,1184365
IK-03-00699,centrum przetwarzania danych dolnośląskie-wschodni-20-01-00699,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),w aktualizacji,31.2,1179198
IK-03-00810,system rejestrów państwowych dolnośląskie-miejski-17-04-00810,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,31.2,1176423
IK-02-00454,węzeł szkieletowy telekom łódzkie-północny-18-05-00454,IK02,10,K2,Telko Beta S.A. (fikc.),brak,43.1,1158639
IK-03-00694,centrum przetwarzania danych podkarpackie-południowy-07-01-00694,IK03,18,K1,Chmura Krajowa Sp. z o.o. (fikc.),,,1141089
IK-08-01758,port lotniczy lubelskie-zachodni-03-03-01758,IK08,06,K2,Zarząd Dróg (fikc.),,,1139948
IK-02-00428,węzeł szkieletowy telekom lubelskie-miejski-05-01-00428,IK02,06,K1,Telko Gamma S.A. (fikc.),zatwierdzony,25.1,1135618
IK-02-00450,węzeł szkieletowy telekom zachodniopomorskie-północny-18-01-00450,IK02,32,K2,Telko Gamma S.A. (fikc.),,,1133707
IK-03-00824,system rejestrów państwowych dolnośląskie-południowy-13-04-00824,IK03,02,K2,Centrum Informatyki Państwowej (fikc.),brak,47.1,1116256
IK-03-00785,system rejestrów państwowych dolnośląskie-południowy-01-04-00785,IK03,02,K1,Centrum Informatyki Państwowej (fikc.),brak,69.1,1099968
IK-03-00716,centrum przetwarzania danych lubuskie-zachodni-03-06-00716,IK03,08,K2,Chmura Krajowa Sp. z o.o. (fikc.),,,1088506
IK-03-00697,centrum przetwarzania danych świętokrzyskie-zachodni-03-05-00697,IK03,26,K1,Centrum Informatyki Państwowej (fikc.),brak,88.0,1087840
IK-01-00360,magazyn/terminal paliw dolnośląskie-południowy-07-02-00360,IK01,02,K2,Paliwa Krajowe S.A. (fikc.),zatwierdzony,40.9,1087642
IK-03-00722,centrum przetwarzania danych małopolskie-wschodni-14-04-00722,IK03,12,K1,Chmura Krajowa Sp. z o.o. (fikc.),w aktualizacji,21.9,1085804
IK-03-00708,centrum przetwarzania danych opolskie-wschodni-08-06-00708,IK03,16,K1,Centrum Informatyki Państwowej (fikc.),zatwierdzony,57.1,1076264
IK-02-00464,węzeł szkieletowy telekom dolnośląskie-południowy-19-04-00464,IK02,02,K1,Telko Beta S.A. (fikc.),,,1074360
IK-01-00010,stacja NN 400/220 kV świętokrzyskie-miejski-11-03-00010,IK01,26,K1,OSD Zachód (fikc.),,,1070008
IK-03-00686,centrum przetwarzania danych łódzkie-zachodni-03-01-00686,IK03,10,K1,Centrum Informatyki Państwowej (fikc.),brak,50.0,1047787
IK-04-00836,centrum rozliczeniowe lubelskie-centralny-04-06-00836,IK04,06,K1,Bank Krajowy S.A. (fikc.),brak,52.7,1042761
IK-03-00806,system rejestrów państwowych dolnośląskie-zachodni-21-04-00806,IK03,02,K2,Centrum Informatyki Państwowej (fikc.),w aktualizacji,5.2,1026218
IK-07-01607,bank krwi / magazyn farmaceutyczny świętokrzyskie-wschodni-02-06-01607,IK07,26,K1,Samodzielny Publiczny ZOZ (fikc.),brak,100.0,1020606
IK-09-01897,centrum powiadamiania ratunkowego opolskie-południowy-07-02-01897,IK09,16,K1,Urząd Wojewódzki (fikc.),brak,56.4,1019978
IK-01-00368,magazyn/terminal paliw śląskie-północny-12-01-00368,IK01,24,K2,Paliwa Krajowe S.A. (fikc.),zatwierdzony,27.2,1018987
IK-03-00718,centrum przetwarzania danych dolnośląskie-centralny-10-04-00718,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,27.5,1014833
IK-03-00808,system rejestrów państwowych małopolskie-zachodni-03-02-00808,IK03,12,K1,Centrum Informatyki Państwowej (fikc.),brak,13.3,1008120
IK-01-00250,elektrownia systemowa dolnośląskie-zachodni-09-05-00250,IK01,02,K1,Operator Przesyłowy S.A. (fikc.),zatwierdzony,30.7,993739
IK-07-01600,bank krwi / magazyn farmaceutyczny wielkopolskie-wschodni-32-04-01600,IK07,30,K2,Szpital Wojewódzki (fikc.),,,981758
IK-01-00004,stacja NN 400/220 kV opolskie-północny-06-03-00004,IK01,16,K1,Paliwa Krajowe S.A. (fikc.),,,953433
IK-02-00461,węzeł szkieletowy telekom świętokrzyskie-centralny-04-02-00461,IK02,26,K1,Telko Gamma S.A. (fikc.),zatwierdzony,96.2,923459
IK-04-00860,centrum przetwarzania banku dolnośląskie-wschodni-20-01-00860,IK04,02,K2,Izba Rozliczeniowa (fikc.),brak,36.0,916446
IK-03-00801,system rejestrów państwowych łódzkie-północny-06-04-00801,IK03,10,K2,Chmura Krajowa Sp. z o.o. (fikc.),zatwierdzony,20.7,914289
IK-08-01752,port lotniczy opolskie-wschodni-08-06-01752,IK08,16,K2,Zarząd Dróg (fikc.),w aktualizacji,42.3,910170
IK-04-00871,centrum przetwarzania banku świętokrzyskie-zachodni-09-01-00871,IK04,26,K2,Izba Rozliczeniowa (fikc.),brak,73.5,909163
IK-04-00833,centrum rozliczeniowe opolskie-wschodni-02-06-00833,IK04,16,K2,Izba Rozliczeniowa (fikc.),,,897581
IK-04-00854,centrum przetwarzania banku opolskie-północny-06-05-00854,IK04,16,K2,Bank Krajowy S.A. (fikc.),zatwierdzony,66.4,896654
IK-10-01981,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-04-01981,IK10,02,K1,Urząd Wojewódzki (fikc.),brak,53.0,882029
IK-01-00027,stacja NN 400/220 kV opolskie-południowy-01-03-00027,IK01,16,K2,Operator Przesyłowy S.A. (fikc.),w aktualizacji,34.6,881713
IK-10-01943,centrum zarządzania kryzysowego zachodniopomorskie-północny-18-01-01943,IK10,32,K1,Starostwo Powiatowe (fikc.),brak,100.0,869496
IK-04-00858,centrum przetwarzania banku warmińsko-mazurskie-północny-06-04-00858,IK04,28,K2,Izba Rozliczeniowa (fikc.),,,861361
IK-04-00831,centrum rozliczeniowe podkarpackie-zachodni-03-07-00831,IK04,18,K1,Izba Rozliczeniowa (fikc.),,,851934
IK-09-01916,baza lotniczego pogotowia wielkopolskie-centralny-22-01-01916,IK09,30,K1,Komenda Wojewódzka PSP (fikc.),,,828546
IK-03-00778,węzeł sieci rządowej zachodniopomorskie-centralny-04-06-00778,IK03,32,K2,Chmura Krajowa Sp. z o.o. (fikc.),brak,60.1,828294
IK-03-00828,system rejestrów państwowych wielkopolskie-północny-18-04-00828,IK03,30,K1,Centrum Informatyki Państwowej (fikc.),,,827127
IK-03-00811,system rejestrów państwowych opolskie-miejski-05-06-00811,IK03,16,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,52.1,825598
IK-09-01915,baza lotniczego pogotowia wielkopolskie-centralny-16-02-01915,IK09,30,K2,Urząd Wojewódzki (fikc.),,,820053
IK-01-00034,stacja NN 400/220 kV kujawsko-pomorskie-zachodni-15-04-00034,IK01,04,K1,OSD Południe (fikc.),brak,57.2,804997
IK-01-00012,stacja NN 400/220 kV wielkopolskie-centralny-04-02-00012,IK01,30,K1,Operator Przesyłowy S.A. (fikc.),,,797956
IK-01-00241,elektrownia systemowa małopolskie-wschodni-14-06-00241,IK01,12,K1,OSD Zachód (fikc.),w aktualizacji,36.6,794555
IK-01-00264,elektrownia systemowa małopolskie-miejski-17-03-00264,IK01,12,K1,Operator Przesyłowy S.A. (fikc.),zatwierdzony,89.8,792474
IK-03-00830,system rejestrów państwowych dolnośląskie-miejski-05-05-00830,IK03,02,K1,Centrum Informatyki Państwowej (fikc.),w aktualizacji,41.1,780738
IK-03-00813,system rejestrów państwowych śląskie-południowy-01-06-00813,IK03,24,K2,Chmura Krajowa Sp. z o.o. (fikc.),,,778722
IK-03-00796,system rejestrów państwowych dolnośląskie-zachodni-21-07-00796,IK03,02,K2,Centrum Informatyki Państwowej (fikc.),w aktualizacji,3.0,778164
IK-04-00880,centrum przetwarzania banku podkarpackie-wschodni-20-06-00880,IK04,18,K2,Izba Rozliczeniowa (fikc.),w aktualizacji,35.2,777041
IK-02-00479,węzeł szkieletowy telekom dolnośląskie-centralny-04-03-00479,IK02,02,K1,Telko Gamma S.A. (fikc.),,,772966
IK-07-01585,bank krwi / magazyn farmaceutyczny mazowieckie-zachodni-39-04-01585,IK07,14,K2,Samodzielny Publiczny ZOZ (fikc.),zatwierdzony,91.4,770039
IK-03-00823,system rejestrów państwowych lubelskie-zachodni-03-07-00823,IK03,06,K2,Centrum Informatyki Państwowej (fikc.),brak,50.8,764174
IK-05-00945,magazyn rezerw strategicznych pomorskie-zachodni-09-05-00945,IK05,22,K2,Spółdzielnia Spożywcza (fikc.),w aktualizacji,12.2,763913
IK-01-00014,stacja NN 400/220 kV podkarpackie-zachodni-15-05-00014,IK01,18,K1,Gazoprzesył S.A. (fikc.),brak,88.8,749049
IK-01-00266,elektrownia systemowa podkarpackie-zachodni-09-04-00266,IK01,18,K1,OSD Południe (fikc.),zatwierdzony,46.3,747810
IK-01-00245,elektrownia systemowa warmińsko-mazurskie-zachodni-21-01-00245,IK01,28,K2,OSD Zachód (fikc.),brak,62.0,740838
IK-01-00374,magazyn/terminal paliw opolskie-wschodni-08-04-00374,IK01,16,K2,Operator Przesyłowy S.A. (fikc.),brak,91.4,740691
IK-02-00466,węzeł szkieletowy telekom lubelskie-północny-18-07-00466,IK02,06,K1,Telko Beta S.A. (fikc.),w aktualizacji,35.6,734157
IK-01-00253,elektrownia systemowa śląskie-południowy-01-01-00253,IK01,24,K2,Gazoprzesył S.A. (fikc.),,,724787
IK-04-00869,centrum przetwarzania banku opolskie-zachodni-03-07-00869,IK04,16,K2,Bank Regionalny S.A. (fikc.),w aktualizacji,31.5,719272
IK-10-01940,centrum zarządzania kryzysowego dolnośląskie-miejski-11-03-01940,IK10,02,K2,Urząd Gminy (fikc.),,,710425
IK-04-00848,centrum rozliczeniowe podkarpackie-miejski-23-03-00848,IK04,18,K1,Bank Krajowy S.A. (fikc.),zatwierdzony,40.6,709871
IK-08-01620,węzeł kolejowy podlaskie-zachodni-09-06-01620,IK08,20,K2,Kolej Krajowa S.A. (fikc.),brak,26.9,704818
IK-08-01659,węzeł kolejowy łódzkie-wschodni-08-05-01659,IK08,10,K2,Kolej Krajowa S.A. (fikc.),zatwierdzony,12.0,695663
IK-09-01908,baza lotniczego pogotowia łódzkie-zachodni-21-03-01908,IK09,10,K1,Urząd Wojewódzki (fikc.),brak,70.9,692781
IK-01-00018,stacja NN 400/220 kV opolskie-wschodni-02-02-00018,IK01,16,K1,Paliwa Krajowe S.A. (fikc.),w aktualizacji,49.9,691808
IK-01-00265,elektrownia systemowa podkarpackie-północny-18-05-00265,IK01,18,K1,Gazoprzesył S.A. (fikc.),zatwierdzony,29.6,671208
IK-10-01962,centrum zarządzania kryzysowego kujawsko-pomorskie-zachodni-21-02-01962,IK10,04,K1,Urząd Wojewódzki (fikc.),brak,79.9,665432
IK-02-00475,węzeł szkieletowy telekom lubuskie-centralny-10-01-00475,IK02,08,K2,Telko Gamma S.A. (fikc.),zatwierdzony,3.0,661608
IK-01-00038,stacja NN 400/220 kV łódzkie-centralny-22-05-00038,IK01,10,K1,OSD Zachód (fikc.),zatwierdzony,43.9,652820
IK-10-01947,centrum zarządzania kryzysowego mazowieckie-północny-36-06-01947,IK10,14,K2,Starostwo Powiatowe (fikc.),brak,35.1,647109
IK-10-01927,centrum zarządzania kryzysowego wielkopolskie-południowy-31-02-01927,IK10,30,K2,Urząd Gminy (fikc.),,,646610
IK-02-00459,węzeł szkieletowy telekom lubuskie-wschodni-08-07-00459,IK02,08,K2,Telko Gamma S.A. (fikc.),,,644867
IK-09-01912,baza lotniczego pogotowia zachodniopomorskie-północny-06-04-01912,IK09,32,K2,Komenda Wojewódzka PSP (fikc.),,,643570
IK-03-00751,węzeł sieci rządowej warmińsko-mazurskie-miejski-11-05-00751,IK03,28,K2,Centrum Informatyki Państwowej (fikc.),,,638441
IK-01-00353,magazyn/terminal paliw dolnośląskie-północny-24-07-00353,IK01,02,K2,Gazoprzesył S.A. (fikc.),,,619537
IK-08-01749,port lotniczy dolnośląskie-południowy-13-06-01749,IK08,02,K2,Porty Lotnicze (fikc.),,,617774
IK-05-00926,magazyn rezerw strategicznych dolnośląskie-miejski-05-07-00926,IK05,02,K2,Sieć Chłodni Polska (fikc.),brak,46.7,613329
IK-03-00753,węzeł sieci rządowej podlaskie-wschodni-08-02-00753,IK03,20,K1,Centrum Informatyki Państwowej (fikc.),brak,25.2,612143
IK-05-00921,magazyn rezerw strategicznych pomorskie-północny-12-06-00921,IK05,22,K2,Spółdzielnia Spożywcza (fikc.),,,610604
IK-10-01936,centrum zarządzania kryzysowego opolskie-miejski-05-05-01936,IK10,16,K1,Urząd Wojewódzki (fikc.),brak,44.9,596847
IK-02-00441,węzeł szkieletowy telekom podkarpackie-centralny-04-03-00441,IK02,18,K1,Telko Beta S.A. (fikc.),brak,74.5,595236
IK-02-00438,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438,IK02,02,K1,Telko Gamma S.A. (fikc.),,,592036
IK-01-00030,stacja NN 400/220 kV łódzkie-północny-24-06-00030,IK01,10,K1,OSD Południe (fikc.),brak,67.0,588995
IK-01-00259,elektrownia systemowa opolskie-północny-06-05-00259,IK01,16,K1,Gazoprzesył S.A. (fikc.),,,581376
IK-09-01925,baza lotniczego pogotowia lubuskie-północny-06-07-01925,IK09,08,K2,Komenda Wojewódzka PSP (fikc.),,,566865
IK-03-00787,system rejestrów państwowych pomorskie-wschodni-08-05-00787,IK03,22,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,90.1,566300
IK-03-00738,węzeł sieci rządowej podlaskie-miejski-05-01-00738,IK03,20,K2,Centrum Informatyki Państwowej (fikc.),brak,27.3,557253
IK-02-00469,węzeł szkieletowy telekom dolnośląskie-zachodni-09-02-00469,IK02,02,K2,Telko Gamma S.A. (fikc.),brak,49.5,557082
IK-09-01923,baza lotniczego pogotowia pomorskie-południowy-01-04-01923,IK09,22,K2,Urząd Wojewódzki (fikc.),zatwierdzony,57.4,555438
IK-10-01960,centrum zarządzania kryzysowego podlaskie-północny-06-02-01960,IK10,20,K2,Urząd Gminy (fikc.),zatwierdzony,38.6,555299
IK-07-01583,bank krwi / magazyn farmaceutyczny wielkopolskie-centralny-16-02-01583,IK07,30,K2,Samodzielny Publiczny ZOZ (fikc.),,,553865
IK-07-01426,szpital wielospecjalistyczny kujawsko-pomorskie-centralny-22-05-01426,IK07,04,K1,Samodzielny Publiczny ZOZ (fikc.),,,553160
IK-03-00745,węzeł sieci rządowej dolnośląskie-zachodni-27-07-00745,IK03,02,K2,Centrum Informatyki Państwowej (fikc.),w aktualizacji,11.3,550843
IK-01-00032,stacja NN 400/220 kV śląskie-miejski-11-05-00032,IK01,24,K1,Operator Przesyłowy S.A. (fikc.),brak,43.2,528801
IK-08-01666,węzeł kolejowy kujawsko-pomorskie-północny-18-02-01666,IK08,04,K2,Kolej Krajowa S.A. (fikc.),brak,66.3,525060
IK-08-01745,port lotniczy śląskie-zachodni-33-05-01745,IK08,24,K1,Zarząd Dróg (fikc.),brak,71.4,520474
IK-04-00861,centrum przetwarzania banku śląskie-południowy-13-02-00861,IK04,24,K2,Bank Krajowy S.A. (fikc.),zatwierdzony,59.1,513872
IK-10-01970,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-03-01970,IK10,02,K1,Urząd Wojewódzki (fikc.),zatwierdzony,25.8,512671
IK-08-01625,węzeł kolejowy opolskie-miejski-11-07-01625,IK08,16,K2,Porty Lotnicze (fikc.),w aktualizacji,9.0,508063
IK-09-01909,baza lotniczego pogotowia opolskie-południowy-01-07-01909,IK09,16,K2,Komenda Wojewódzka PSP (fikc.),w aktualizacji,17.3,505793
IK-08-01753,port lotniczy dolnośląskie-wschodni-14-01-01753,IK08,02,K1,Zarząd Dróg (fikc.),,,501104
IK-04-00866,centrum przetwarzania banku dolnośląskie-zachodni-21-01-00866,IK04,02,K2,Bank Krajowy S.A. (fikc.),w aktualizacji,17.9,499209
IK-02-00447,węzeł szkieletowy telekom małopolskie-miejski-05-01-00447,IK02,12,K1,Telko Alfa S.A. (fikc.),,,495230
IK-01-00003,stacja NN 400/220 kV małopolskie-północny-12-06-00003,IK01,12,K1,OSD Południe (fikc.),brak,90.3,491556
IK-05-00922,magazyn rezerw strategicznych opolskie-południowy-07-03-00922,IK05,16,K1,Sieć Chłodni Polska (fikc.),,,491193
IK-10-01977,centrum zarządzania kryzysowego dolnośląskie-wschodni-08-06-01977,IK10,02,K1,Urząd Wojewódzki (fikc.),brak,62.7,490821
IK-10-01939,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-02-01939,IK10,02,K2,Starostwo Powiatowe (fikc.),,,489465
IK-01-00023,stacja NN 400/220 kV opolskie-zachodni-03-03-00023,IK01,16,K1,Paliwa Krajowe S.A. (fikc.),,,487132
IK-08-01623,węzeł kolejowy dolnośląskie-centralny-28-07-01623,IK08,02,K1,Zarząd Dróg (fikc.),zatwierdzony,3.0,484225
IK-10-01954,centrum zarządzania kryzysowego opolskie-północny-12-06-01954,IK10,16,K1,Urząd Gminy (fikc.),brak,39.4,477520
IK-03-00732,węzeł sieci rządowej podkarpackie-zachodni-09-03-00732,IK03,18,K2,Chmura Krajowa Sp. z o.o. (fikc.),,,470428
IK-10-01951,centrum zarządzania kryzysowego warmińsko-mazurskie-wschodni-14-03-01951,IK10,28,K1,Starostwo Powiatowe (fikc.),w aktualizacji,38.7,469502
IK-10-01975,centrum zarządzania kryzysowego wielkopolskie-zachodni-27-04-01975,IK10,30,K1,Starostwo Powiatowe (fikc.),brak,19.7,467006
IK-05-00949,magazyn rezerw strategicznych lubuskie-zachodni-09-07-00949,IK05,08,K2,Agencja Rezerw (fikc.),,,461898
IK-03-00784,system rejestrów państwowych opolskie-północny-06-06-00784,IK03,16,K1,Centrum Informatyki Państwowej (fikc.),,,459543
IK-07-01581,bank krwi / magazyn farmaceutyczny opolskie-północny-06-05-01581,IK07,16,K2,Samodzielny Publiczny ZOZ (fikc.),,,457869
IK-01-00039,stacja NN 400/220 kV wielkopolskie-południowy-01-03-00039,IK01,30,K1,Operator Przesyłowy S.A. (fikc.),zatwierdzony,64.2,456128
IK-03-00764,węzeł sieci rządowej dolnośląskie-centralny-10-01-00764,IK03,02,K1,Chmura Krajowa Sp. z o.o. (fikc.),,,456053
IK-08-01696,most/przeprawa krytyczna podlaskie-zachodni-15-04-01696,IK08,20,K2,Zarząd Dróg (fikc.),,,455411
IK-08-01754,port lotniczy dolnośląskie-południowy-13-06-01754,IK08,02,K2,Kolej Krajowa S.A. (fikc.),brak,50.4,453374
IK-03-00736,węzeł sieci rządowej małopolskie-południowy-19-01-00736,IK03,12,K2,Chmura Krajowa Sp. z o.o. (fikc.),w aktualizacji,34.2,451170
IK-07-01407,szpital wielospecjalistyczny kujawsko-pomorskie-zachodni-15-06-01407,IK07,04,K1,Samodzielny Publiczny ZOZ (fikc.),,,445974
IK-03-00761,węzeł sieci rządowej opolskie-miejski-05-02-00761,IK03,16,K1,Chmura Krajowa Sp. z o.o. (fikc.),brak,50.2,444599
IK-10-02003,węzeł teleinformatyczny urzędu świętokrzyskie-wschodni-02-01-02003,IK10,26,K2,Starostwo Powiatowe (fikc.),,,443563
IK-07-01420,szpital wielospecjalistyczny lubuskie-zachodni-03-01-01420,IK07,08,K1,Szpital Wojewódzki (fikc.),zatwierdzony,36.8,442031
IK-08-01628,węzeł kolejowy podkarpackie-wschodni-20-02-01628,IK08,18,K1,Porty Lotnicze (fikc.),zatwierdzony,66.1,439978
IK-02-00471,węzeł szkieletowy telekom opolskie-wschodni-02-04-00471,IK02,16,K1,Telko Beta S.A. (fikc.),,,433732
IK-04-00877,centrum przetwarzania banku lubelskie-południowy-07-05-00877,IK04,06,K2,Izba Rozliczeniowa (fikc.),brak,8.9,432993
IK-05-00934,magazyn rezerw strategicznych małopolskie-zachodni-03-04-00934,IK05,12,K1,Spółdzielnia Spożywcza (fikc.),,,421860
IK-02-00453,węzeł szkieletowy telekom dolnośląskie-wschodni-26-01-00453,IK02,02,K1,Telko Gamma S.A. (fikc.),zatwierdzony,18.3,420614
IK-02-00467,węzeł szkieletowy telekom opolskie-miejski-05-03-00467,IK02,16,K2,Telko Beta S.A. (fikc.),zatwierdzony,47.2,420037
IK-01-00352,magazyn/terminal paliw dolnośląskie-zachodni-27-03-00352,IK01,02,K2,Operator Przesyłowy S.A. (fikc.),zatwierdzony,44.7,415999
IK-03-00799,system rejestrów państwowych opolskie-miejski-11-02-00799,IK03,16,K2,Chmura Krajowa Sp. z o.o. (fikc.),w aktualizacji,9.5,415720
IK-07-01603,bank krwi / magazyn farmaceutyczny łódzkie-centralny-22-04-01603,IK07,10,K2,Sieć Medyczna Vita (fikc.),brak,51.2,413951
IK-08-01757,port lotniczy dolnośląskie-północny-12-03-01757,IK08,02,K2,Porty Lotnicze (fikc.),brak,63.1,413170
IK-05-00928,magazyn rezerw strategicznych wielkopolskie-północny-24-06-00928,IK05,30,K1,Sieć Chłodni Polska (fikc.),zatwierdzony,72.7,409440
IK-01-00252,elektrownia systemowa zachodniopomorskie-centralny-04-02-00252,IK01,32,K1,Operator Przesyłowy S.A. (fikc.),brak,21.7,404778
