hour_bucket,system_group,nodes_failed,cumulative
46,health,1,95
46,rescue,2,33
46,transport,1,57
47,water,1,84
48,chemical,1,17
48,energy,1,95
49,rescue,1,34
49,transport,1,58
51,rescue,1,35
52,energy,1,96
52,health,1,96
52,rescue,1,36
53,admin,1,50
53,telecom,2,77
54,water,1,85
55,energy,1,97
57,energy,8,105
57,food,2,50
57,health,1,97
58,energy,1,106
59,energy,2,108
59,food,1,51
59,water,2,87
60,chemical,1,18
60,telecom,1,78
61,admin,1,51
61,energy,1,109
62,telecom,2,80
62,water,1,88
63,health,1,98
63,water,1,89
65,health,1,99
69,energy,1,110
72,ict,1,41
76,admin,1,52
76,energy,7,117
76,food,2,53
76,ict,1,42
76,rescue,1,37
76,transport,2,60
76,water,1,90
77,energy,3,120
78,energy,1,121
78,water,2,92
79,energy,2,123
79,health,1,100
79,telecom,1,81
79,water,2,94
80,chemical,1,19
80,telecom,1,82
80,transport,1,61
80,water,1,95
81,chemical,1,20
81,telecom,2,84
82,food,2,55
82,telecom,1,85
83,ict,1,43
84,finance,1,39
84,ict,4,47
84,telecom,1,86
85,energy,1,124
91,ict,2,49
92,energy,18,142
92,ict,2,51
92,rescue,1,38
92,transport,1,62
92,water,1,96
93,energy,1,143
93,finance,1,40
93,telecom,1,87
93,water,1,97
94,energy,1,144
94,health,1,101
94,water,2,99
95,telecom,1,88
96,chemical,2,22
97,health,3,104
97,telecom,1,89
97,water,2,101
98,food,1,56
98,telecom,1,90
98,transport,1,63
99,ict,1,52
99,telecom,1,91
100,admin,1,53
100,finance,2,42
100,ict,1,53
106,finance,1,43
107,rescue,1,39
108,finance,1,44
108,ict,1,54
109,admin,1,54
109,ict,1,55
110,ict,1,56
111,ict,1,57
137,energy,1,145
138,energy,1,146
