node_id,node_name,system_code,system_group,node_type,voivodeship_code,powiat_code,gmina_code,criticality_class,population_served,fail_hour,wave,cause_node_id,cause_dependency,gmina_name,cause_node_name
IK-05-01016,zakład przetwórstwa spożywczego dolnośląskie-centralny-28-04-01016,IK05,food,zakład przetwórstwa spożywczego,02,0228,0228004,K3,322260,0.0,2,IK-01-00217,electricity,gmina dolnośląskie-centralny-28-04,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
IK-06-01355,oczyszczalnia ścieków dolnośląskie-miejski-05-01-01355,IK06,water,oczyszczalnia ścieków,02,0205,0205001,K3,103081,0.0,2,IK-01-00217,electricity,gmina dolnośląskie-miejski-05-01,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
IK-10-01986,centrum zarządzania kryzysowego dolnośląskie-północny-30-06-01986,IK10,admin,centrum zarządzania kryzysowego,02,0230,0230006,K1,216996,0.0,2,IK-01-00235,electricity,gmina dolnośląskie-północny-30-06,GPZ 110/SN dolnośląskie-miejski-29-06-00235
IK-04-00892,hurtownia wartości/gotówki dolnośląskie-centralny-28-04-00892,IK04,finance,hurtownia wartości/gotówki,02,0228,0228004,K3,451481,0.21,3,IK-02-00455,telecom,gmina dolnośląskie-centralny-28-04,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455
IK-04-00843,centrum rozliczeniowe dolnośląskie-wschodni-20-02-00843,IK04,finance,centrum rozliczeniowe,02,0220,0220002,K2,1841060,0.42,3,IK-02-00476,telecom,gmina dolnośląskie-wschodni-20-02,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-03-00793,system rejestrów państwowych dolnośląskie-wschodni-26-05-00793,IK03,ict,system rejestrów państwowych,02,0226,0226005,K1,391671,0.51,3,IK-02-00476,telecom,gmina dolnośląskie-wschodni-26-05,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-03-00763,węzeł sieci rządowej dolnośląskie-wschodni-26-05-00763,IK03,ict,węzeł sieci rządowej,02,0226,0226005,K1,294527,0.54,3,IK-02-00476,telecom,gmina dolnośląskie-wschodni-26-05,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-04-00837,centrum rozliczeniowe dolnośląskie-miejski-23-05-00837,IK04,finance,centrum rozliczeniowe,02,0223,0223005,K2,1245366,0.55,3,IK-02-00476,telecom,gmina dolnośląskie-miejski-23-05,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-03-00807,system rejestrów państwowych dolnośląskie-zachodni-15-04-00807,IK03,ict,system rejestrów państwowych,02,0215,0215004,K1,1548800,0.65,3,IK-02-00455,telecom,gmina dolnośląskie-zachodni-15-04,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455
IK-09-01828,jednostka ratowniczo-gaśnicza PSP dolnośląskie-centralny-22-04-01828,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0222,0222004,K2,52810,0.67,3,IK-02-00476,telecom,gmina dolnośląskie-centralny-22-04,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-06-01131,ujęcie wody dolnośląskie-zachodni-21-05-01131,IK06,water,ujęcie wody,02,0221,0221005,K2,31547,0.9,2,IK-01-00230,electricity,gmina dolnośląskie-zachodni-21-05,GPZ 110/SN dolnośląskie-wschodni-02-06-00230
IK-10-01981,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-04-01981,IK10,admin,centrum zarządzania kryzysowego,02,0215,0215004,K1,882029,0.91,3,IK-02-00455,telecom,gmina dolnośląskie-zachodni-15-04,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455
IK-01-00342,magazyn/terminal paliw dolnośląskie-miejski-23-06-00342,IK01,energy,magazyn/terminal paliw,02,0223,0223006,K2,235806,1.0,2,IK-01-00099,electricity,gmina dolnośląskie-miejski-23-06,GPZ 110/SN dolnośląskie-wschodni-02-05-00099
IK-02-00594,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-26-05-00594,IK02,telecom,węzeł agregacyjny/RAN hub,02,0226,0226005,K3,116114,1.04,4,IK-03-00763,ict,gmina dolnośląskie-wschodni-26-05,węzeł sieci rządowej dolnośląskie-wschodni-26-05-00763
IK-01-00329,tłocznia gazu dolnośląskie-miejski-29-04-00329,IK01,energy,tłocznia gazu,02,0229,0229004,K2,118136,1.1,2,IK-01-00235,electricity,gmina dolnośląskie-miejski-29-04,GPZ 110/SN dolnośląskie-miejski-29-06-00235
IK-06-01116,ujęcie wody dolnośląskie-wschodni-26-02-01116,IK06,water,ujęcie wody,02,0226,0226002,K3,43463,1.2,2,IK-01-00156,electricity,gmina dolnośląskie-wschodni-26-02,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-01-00389,stacja redukcyjna gazu dolnośląskie-wschodni-02-03-00389,IK01,energy,stacja redukcyjna gazu,02,0202,0202003,K2,34684,1.3,2,IK-01-00156,electricity,gmina dolnośląskie-wschodni-02-03,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-10-01939,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-02-01939,IK10,admin,centrum zarządzania kryzysowego,02,0215,0215002,K2,489465,1.37,4,IK-03-00807,ict,gmina dolnośląskie-zachodni-15-02,system rejestrów państwowych dolnośląskie-zachodni-15-04-00807
IK-01-00399,stacja redukcyjna gazu dolnośląskie-centralny-22-06-00399,IK01,energy,stacja redukcyjna gazu,02,0222,0222006,K2,144633,1.4,2,IK-01-00202,electricity,gmina dolnośląskie-centralny-22-06,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-01-00349,magazyn/terminal paliw dolnośląskie-południowy-07-07-00349,IK01,energy,magazyn/terminal paliw,02,0207,0207007,K1,141007,1.4,2,IK-01-00230,electricity,gmina dolnośląskie-południowy-07-07,GPZ 110/SN dolnośląskie-wschodni-02-06-00230
IK-01-00388,stacja redukcyjna gazu dolnośląskie-północny-18-04-00388,IK01,energy,stacja redukcyjna gazu,02,0218,0218004,K2,29768,1.4,2,IK-01-00230,electricity,gmina dolnośląskie-północny-18-04,GPZ 110/SN dolnośląskie-wschodni-02-06-00230
IK-10-01973,centrum zarządzania kryzysowego dolnośląskie-centralny-22-04-01973,IK10,admin,centrum zarządzania kryzysowego,02,0222,0222004,K1,577711,1.44,4,IK-03-00793,ict,gmina dolnośląskie-centralny-22-04,system rejestrów państwowych dolnośląskie-wschodni-26-05-00793
IK-04-00910,hurtownia wartości/gotówki dolnośląskie-południowy-07-01-00910,IK04,finance,hurtownia wartości/gotówki,02,0207,0207001,K3,313765,1.48,4,IK-03-00793,ict,gmina dolnośląskie-południowy-07-01,system rejestrów państwowych dolnośląskie-wschodni-26-05-00793
IK-07-01604,bank krwi / magazyn farmaceutyczny dolnośląskie-centralny-04-02-01604,IK07,health,bank krwi / magazyn farmaceutyczny,02,0204,0204002,K3,263972,1.49,3,IK-02-00476,telecom,gmina dolnośląskie-centralny-04-02,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476
IK-06-01284,przepompownia wody dolnośląskie-południowy-07-07-01284,IK06,water,przepompownia wody,02,0207,0207007,K3,29199,1.5,2,IK-01-00156,electricity,gmina dolnośląskie-południowy-07-07,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-01-00370,magazyn/terminal paliw dolnośląskie-północny-18-02-00370,IK01,energy,magazyn/terminal paliw,02,0218,0218002,K2,218663,1.5,2,IK-01-00156,electricity,gmina dolnośląskie-północny-18-02,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-01-00379,stacja redukcyjna gazu dolnośląskie-miejski-29-04-00379,IK01,energy,stacja redukcyjna gazu,02,0229,0229004,K3,24861,1.5,2,IK-01-00192,electricity,gmina dolnośląskie-miejski-29-04,GPZ 110/SN dolnośląskie-wschodni-26-06-00192
IK-01-00378,stacja redukcyjna gazu dolnośląskie-zachodni-27-02-00378,IK01,energy,stacja redukcyjna gazu,02,0227,0227002,K2,43692,1.5,2,IK-01-00202,electricity,gmina dolnośląskie-zachodni-27-02,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-10-01941,centrum zarządzania kryzysowego dolnośląskie-centralny-28-04-01941,IK10,admin,centrum zarządzania kryzysowego,02,0228,0228004,K1,163415,1.56,4,IK-03-00793,ict,gmina dolnośląskie-centralny-28-04,system rejestrów państwowych dolnośląskie-wschodni-26-05-00793
IK-06-01308,przepompownia wody dolnośląskie-północny-18-02-01308,IK06,water,przepompownia wody,02,0218,0218002,K3,25872,1.7,2,IK-01-00156,electricity,gmina dolnośląskie-północny-18-02,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-07-01589,bank krwi / magazyn farmaceutyczny dolnośląskie-centralny-04-02-01589,IK07,health,bank krwi / magazyn farmaceutyczny,02,0204,0204002,K2,138105,2.27,5,IK-02-00594,telecom,gmina dolnośląskie-centralny-04-02,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-26-05-00594
IK-02-00550,węzeł agregacyjny/RAN hub dolnośląskie-północny-06-05-00550,IK02,telecom,węzeł agregacyjny/RAN hub,02,0206,0206005,K3,108712,2.3,2,IK-01-00156,electricity,gmina dolnośląskie-północny-06-05,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-07-01466,szpital powiatowy dolnośląskie-centralny-04-05-01466,IK07,health,szpital powiatowy,02,0204,0204005,K3,51674,2.39,5,IK-02-00594,telecom,gmina dolnośląskie-centralny-04-05,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-26-05-00594
IK-11-02096,zakład zwiększonego ryzyka (ZZR) dolnośląskie-centralny-04-06-02096,IK11,chemical,zakład zwiększonego ryzyka (ZZR),02,0204,0204006,K3,36946,2.4,2,IK-01-00225,electricity,gmina dolnośląskie-centralny-04-06,GPZ 110/SN dolnośląskie-południowy-07-01-00225
IK-06-01228,stacja uzdatniania wody dolnośląskie-wschodni-20-06-01228,IK06,water,stacja uzdatniania wody,02,0220,0220006,K2,128523,2.7,2,IK-01-00202,electricity,gmina dolnośląskie-wschodni-20-06,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-06-01332,oczyszczalnia ścieków dolnośląskie-południowy-07-01-01332,IK06,water,oczyszczalnia ścieków,02,0207,0207001,K2,49086,2.8,2,IK-01-00225,electricity,gmina dolnośląskie-południowy-07-01,GPZ 110/SN dolnośląskie-południowy-07-01-00225
IK-06-01175,stacja uzdatniania wody dolnośląskie-wschodni-02-05-01175,IK06,water,stacja uzdatniania wody,02,0202,0202005,K1,59560,2.9,2,IK-01-00099,electricity,gmina dolnośląskie-wschodni-02-05,GPZ 110/SN dolnośląskie-wschodni-02-05-00099
IK-06-01213,stacja uzdatniania wody dolnośląskie-wschodni-02-05-01213,IK06,water,stacja uzdatniania wody,02,0202,0202005,K3,46766,3.1,2,IK-01-00099,electricity,gmina dolnośląskie-wschodni-02-05,GPZ 110/SN dolnośląskie-wschodni-02-05-00099
IK-01-00363,magazyn/terminal paliw dolnośląskie-zachodni-27-04-00363,IK01,energy,magazyn/terminal paliw,02,0227,0227004,K2,175983,3.3,2,IK-01-00202,electricity,gmina dolnośląskie-zachodni-27-04,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-06-01206,stacja uzdatniania wody dolnośląskie-południowy-07-07-01206,IK06,water,stacja uzdatniania wody,02,0207,0207007,K2,26793,3.5,2,IK-01-00230,electricity,gmina dolnośląskie-południowy-07-07,GPZ 110/SN dolnośląskie-wschodni-02-06-00230
IK-08-01785,centrum sterowania ruchem dolnośląskie-zachodni-15-05-01785,IK08,transport,centrum sterowania ruchem,02,0215,0215005,K2,223403,3.6,2,IK-01-00156,electricity,gmina dolnośląskie-zachodni-15-05,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-10-02044,węzeł teleinformatyczny urzędu dolnośląskie-północny-06-04-02044,IK10,admin,węzeł teleinformatyczny urzędu,02,0206,0206004,K2,174201,3.7,2,IK-01-00099,electricity,gmina dolnośląskie-północny-06-04,GPZ 110/SN dolnośląskie-wschodni-02-05-00099
IK-07-01516,szpital powiatowy dolnośląskie-zachodni-15-01-01516,IK07,health,szpital powiatowy,02,0215,0215001,K3,115714,3.71,3,IK-02-00550,telecom,gmina dolnośląskie-zachodni-15-01,węzeł agregacyjny/RAN hub dolnośląskie-północny-06-05-00550
IK-02-00523,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-14-07-00523,IK02,telecom,węzeł agregacyjny/RAN hub,02,0214,0214007,K3,62737,3.9,2,IK-01-00156,electricity,gmina dolnośląskie-wschodni-14-07,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-02-00651,węzeł agregacyjny/RAN hub dolnośląskie-północny-30-04-00651,IK02,telecom,węzeł agregacyjny/RAN hub,02,0230,0230004,K2,25776,4.4,2,IK-01-00235,electricity,gmina dolnośląskie-północny-30-04,GPZ 110/SN dolnośląskie-miejski-29-06-00235
IK-07-01413,szpital wielospecjalistyczny dolnośląskie-północny-18-02-01413,IK07,health,szpital wielospecjalistyczny,02,0218,0218002,K1,354495,4.41,3,IK-06-01116,water,gmina dolnośląskie-północny-18-02,ujęcie wody dolnośląskie-wschodni-26-02-01116
IK-02-00600,węzeł agregacyjny/RAN hub dolnośląskie-północny-18-03-00600,IK02,telecom,węzeł agregacyjny/RAN hub,02,0218,0218003,K3,80574,4.5,2,IK-01-00156,electricity,gmina dolnośląskie-północny-18-03,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-02-00662,węzeł agregacyjny/RAN hub dolnośląskie-północny-24-06-00662,IK02,telecom,węzeł agregacyjny/RAN hub,02,0224,0224006,K3,81725,4.6,2,IK-01-00156,electricity,gmina dolnośląskie-północny-24-06,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-06-01234,stacja uzdatniania wody dolnośląskie-miejski-23-04-01234,IK06,water,stacja uzdatniania wody,02,0223,0223004,K2,98233,4.7,2,IK-01-00217,electricity,gmina dolnośląskie-miejski-23-04,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
IK-11-02067,zakład dużego ryzyka (ZDR) dolnośląskie-zachodni-27-02-02067,IK11,chemical,zakład dużego ryzyka (ZDR),02,0227,0227002,K1,41844,5.01,3,IK-06-01228,water,gmina dolnośląskie-zachodni-27-02,stacja uzdatniania wody dolnośląskie-wschodni-20-06-01228
IK-07-01613,bank krwi / magazyn farmaceutyczny dolnośląskie-północny-18-07-01613,IK07,health,bank krwi / magazyn farmaceutyczny,02,0218,0218007,K2,200581,5.39,3,IK-02-00523,telecom,gmina dolnośląskie-północny-18-07,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-14-07-00523
IK-08-01768,port morski/rzeczny dolnośląskie-centralny-04-05-01768,IK08,transport,port morski/rzeczny,02,0204,0204005,K1,112782,5.6,2,IK-01-00225,electricity,gmina dolnośląskie-centralny-04-05,GPZ 110/SN dolnośląskie-południowy-07-01-00225
IK-05-00933,magazyn rezerw strategicznych dolnośląskie-północny-18-01-00933,IK05,food,magazyn rezerw strategicznych,02,0218,0218001,K2,182043,5.61,3,IK-06-01116,water,gmina dolnośląskie-północny-18-01,ujęcie wody dolnośląskie-wschodni-26-02-01116
IK-05-00924,magazyn rezerw strategicznych dolnośląskie-wschodni-26-02-00924,IK05,food,magazyn rezerw strategicznych,02,0226,0226002,K2,298469,5.78,3,IK-06-01116,water,gmina dolnośląskie-wschodni-26-02,ujęcie wody dolnośląskie-wschodni-26-02-01116
IK-07-01456,szpital powiatowy dolnośląskie-północny-30-04-01456,IK07,health,szpital powiatowy,02,0230,0230004,K2,143962,5.81,3,IK-02-00651,telecom,gmina dolnośląskie-północny-30-04,węzeł agregacyjny/RAN hub dolnośląskie-północny-30-04-00651
IK-06-01253,przepompownia wody dolnośląskie-zachodni-15-05-01253,IK06,water,przepompownia wody,02,0215,0215005,K3,17295,5.93,3,IK-02-00523,telecom,gmina dolnośląskie-zachodni-15-05,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-14-07-00523
IK-08-01617,węzeł kolejowy dolnośląskie-północny-06-05-01617,IK08,transport,węzeł kolejowy,02,0206,0206005,K2,207246,6.08,3,IK-02-00662,telecom,gmina dolnośląskie-północny-06-05,węzeł agregacyjny/RAN hub dolnośląskie-północny-24-06-00662
IK-02-00522,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-20-01-00522,IK02,telecom,węzeł agregacyjny/RAN hub,02,0220,0220001,K3,63966,6.1,2,IK-01-00202,electricity,gmina dolnośląskie-wschodni-20-01,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-08-01725,most/przeprawa krytyczna dolnośląskie-miejski-23-06-01725,IK08,transport,most/przeprawa krytyczna,02,0223,0223006,K2,48447,6.15,3,IK-02-00662,telecom,gmina dolnośląskie-miejski-23-06,węzeł agregacyjny/RAN hub dolnośląskie-północny-24-06-00662
IK-07-01401,szpital wielospecjalistyczny dolnośląskie-centralny-22-05-01401,IK07,health,szpital wielospecjalistyczny,02,0222,0222005,K1,440628,6.21,3,IK-06-01228,water,gmina dolnośląskie-centralny-22-05,stacja uzdatniania wody dolnośląskie-wschodni-20-06-01228
IK-07-01550,centrum dializ dolnośląskie-centralny-22-05-01550,IK07,health,centrum dializ,02,0222,0222005,K2,889,6.3,2,IK-01-00202,electricity,gmina dolnośląskie-centralny-22-05,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-05-00991,chłodnia składowa dolnośląskie-miejski-29-02-00991,IK05,food,chłodnia składowa,02,0229,0229002,K3,108478,6.3,2,IK-01-00235,electricity,gmina dolnośląskie-miejski-29-02,GPZ 110/SN dolnośląskie-miejski-29-06-00235
IK-07-01470,szpital powiatowy dolnośląskie-północny-18-06-01470,IK07,health,szpital powiatowy,02,0218,0218006,K2,72138,6.89,3,IK-06-01206,water,gmina dolnośląskie-północny-18-06,stacja uzdatniania wody dolnośląskie-południowy-07-07-01206
IK-05-00929,magazyn rezerw strategicznych dolnośląskie-wschodni-20-06-00929,IK05,food,magazyn rezerw strategicznych,02,0220,0220006,K2,642905,7.21,3,IK-06-01228,water,gmina dolnośląskie-wschodni-20-06,stacja uzdatniania wody dolnośląskie-wschodni-20-06-01228
IK-09-01884,jednostka ratowniczo-gaśnicza PSP dolnośląskie-północny-18-02-01884,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0218,0218002,K1,50479,7.4,2,IK-01-00156,electricity,gmina dolnośląskie-północny-18-02,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-08-01681,most/przeprawa krytyczna dolnośląskie-zachodni-27-04-01681,IK08,transport,most/przeprawa krytyczna,02,0227,0227004,K3,103493,7.5,3,IK-02-00522,telecom,gmina dolnośląskie-zachodni-27-04,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-20-01-00522
IK-05-00950,magazyn rezerw strategicznych dolnośląskie-centralny-04-05-00950,IK05,food,magazyn rezerw strategicznych,02,0204,0204005,K1,130763,7.7,2,IK-01-00217,electricity,gmina dolnośląskie-centralny-04-05,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
IK-09-01817,jednostka ratowniczo-gaśnicza PSP dolnośląskie-wschodni-14-03-01817,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0214,0214003,K2,68076,8.1,2,IK-01-00099,electricity,gmina dolnośląskie-wschodni-14-03,GPZ 110/SN dolnośląskie-wschodni-02-05-00099
IK-04-00895,hurtownia wartości/gotówki dolnośląskie-południowy-07-05-00895,IK04,finance,hurtownia wartości/gotówki,02,0207,0207005,K3,264430,8.1,2,IK-01-00192,electricity,gmina dolnośląskie-południowy-07-05,GPZ 110/SN dolnośląskie-wschodni-26-06-00192
IK-07-01415,szpital wielospecjalistyczny dolnośląskie-wschodni-26-05-01415,IK07,health,szpital wielospecjalistyczny,02,0226,0226005,K1,99465,8.26,3,IK-06-01234,water,gmina dolnośląskie-wschodni-26-05,stacja uzdatniania wody dolnośląskie-miejski-23-04-01234
IK-02-00438,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438,IK02,telecom,węzeł szkieletowy telekom,02,0206,0206001,K1,592036,9.0,2,IK-01-00156,electricity,gmina dolnośląskie-północny-06-01,GPZ 110/SN dolnośląskie-zachodni-15-05-00156
IK-09-01870,jednostka ratowniczo-gaśnicza PSP dolnośląskie-zachodni-27-02-01870,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0227,0227002,K3,31341,9.2,2,IK-01-00202,electricity,gmina dolnośląskie-zachodni-27-02,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-03-00806,system rejestrów państwowych dolnośląskie-zachodni-21-04-00806,IK03,ict,system rejestrów państwowych,02,0221,0221004,K2,1026218,9.33,3,IK-02-00438,telecom,gmina dolnośląskie-zachodni-21-04,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-03-00790,system rejestrów państwowych dolnośląskie-północny-18-02-00790,IK03,ict,system rejestrów państwowych,02,0218,0218002,K1,427252,9.55,3,IK-02-00438,telecom,gmina dolnośląskie-północny-18-02,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-03-00717,centrum przetwarzania danych dolnośląskie-północny-24-06-00717,IK03,ict,centrum przetwarzania danych,02,0224,0224006,K1,3200000,9.59,3,IK-02-00438,telecom,gmina dolnośląskie-północny-24-06,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-04-00847,centrum rozliczeniowe dolnośląskie-północny-18-01-00847,IK04,finance,centrum rozliczeniowe,02,0218,0218001,K1,1116994,9.65,3,IK-02-00438,telecom,gmina dolnośląskie-północny-18-01,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-10-02008,węzeł teleinformatyczny urzędu dolnośląskie-zachodni-15-05-02008,IK10,admin,węzeł teleinformatyczny urzędu,02,0215,0215005,K2,217995,9.75,3,IK-02-00438,telecom,gmina dolnośląskie-zachodni-15-05,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-09-01866,jednostka ratowniczo-gaśnicza PSP dolnośląskie-wschodni-02-06-01866,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0202,0202006,K2,45623,9.81,3,IK-02-00438,telecom,gmina dolnośląskie-wschodni-02-06,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-09-01926,baza lotniczego pogotowia dolnośląskie-wschodni-02-01-01926,IK09,rescue,baza lotniczego pogotowia,02,0202,0202001,K2,661289,9.84,3,IK-02-00438,telecom,gmina dolnośląskie-wschodni-02-01,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-09-01825,jednostka ratowniczo-gaśnicza PSP dolnośląskie-północny-06-02-01825,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0206,0206002,K2,16109,9.88,3,IK-02-00438,telecom,gmina dolnośląskie-północny-06-02,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438
IK-02-00551,węzeł agregacyjny/RAN hub dolnośląskie-północny-06-05-00551,IK02,telecom,węzeł agregacyjny/RAN hub,02,0206,0206005,K3,36677,9.93,4,IK-03-00806,ict,gmina dolnośląskie-północny-06-05,system rejestrów państwowych dolnośląskie-zachodni-21-04-00806
IK-02-00445,węzeł szkieletowy telekom dolnośląskie-wschodni-26-02-00445,IK02,telecom,węzeł szkieletowy telekom,02,0226,0226002,K2,275013,10.22,4,IK-03-00790,ict,gmina dolnośląskie-wschodni-26-02,system rejestrów państwowych dolnośląskie-północny-18-02-00790
IK-09-01843,jednostka ratowniczo-gaśnicza PSP dolnośląskie-północny-06-07-01843,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0206,0206007,K2,129530,10.89,5,IK-02-00445,telecom,gmina dolnośląskie-północny-06-07,węzeł szkieletowy telekom dolnośląskie-wschodni-26-02-00445
IK-07-01396,szpital wielospecjalistyczny dolnośląskie-wschodni-26-02-01396,IK07,health,szpital wielospecjalistyczny,02,0226,0226002,K1,98504,11.63,5,IK-02-00445,telecom,gmina dolnośląskie-wschodni-26-02,węzeł szkieletowy telekom dolnośląskie-wschodni-26-02-00445
