gmina_code,energy,health,telecom,water,gmina_name,population
1604002,20.0,,,25.21,gmina opolskie-centralny-04-02,10828
0218002,3.0,9.4,,26.7,gmina dolnośląskie-północny-18-02,10712
0209002,,,11.7,7.0,gmina dolnośląskie-zachodni-09-02,10699
0228006,1.0,,,,gmina dolnośląskie-centralny-28-06,10637
1603005,,42.23,,,gmina opolskie-zachodni-03-05,10629
0215002,61.2,,,,gmina dolnośląskie-zachodni-15-02,10455
0202005,76.5,,,6.0,gmina dolnośląskie-wschodni-02-05,10327
0212007,,,,0.0,gmina dolnośląskie-północny-12-07,10248
1612006,24.0,,23.0,,gmina opolskie-północny-12-06,10179
0230003,76.5,,,,gmina dolnośląskie-północny-30-03,10157
1604006,,26.53,,18.0,gmina opolskie-centralny-04-06,9944
1612005,,,95.9,11.4,gmina opolskie-północny-12-05,9766
1601007,25.0,19.0,,,gmina opolskie-południowy-01-07,9763
0230004,,79.99,80.9,,gmina dolnośląskie-północny-30-04,9706
1601005,,12.0,,15.0,gmina opolskie-południowy-01-05,9700
0226004,,2.7,,,gmina dolnośląskie-wschodni-26-04,9506
0201005,,,4.0,,gmina dolnośląskie-południowy-01-05,9492
0211005,,5.0,,,gmina dolnośląskie-miejski-11-05,9342
0227007,10.0,1.0,,,gmina dolnośląskie-zachodni-27-07,9337
0216001,,,,0.0,gmina dolnośląskie-centralny-16-01,9326
0209005,0.0,,,8.0,gmina dolnośląskie-zachodni-09-05,9239
0201006,1.0,,,,gmina dolnośląskie-południowy-01-06,9188
0219005,1.0,,,,gmina dolnośląskie-południowy-19-05,9082
0216007,,,,10.0,gmina dolnośląskie-centralny-16-07,9061
1603003,,42.33,22.2,,gmina opolskie-zachodni-03-03,9053
1606003,22.4,,27.0,24.5,gmina opolskie-północny-06-03,9034
1607002,22.0,,29.0,,gmina opolskie-południowy-07-02,9003
1604001,,,30.54,11.7,gmina opolskie-centralny-04-01,8885
1607004,17.0,,,,gmina opolskie-południowy-07-04,8868
0205001,,,0.0,1.0,gmina dolnośląskie-miejski-05-01,8788
0212003,,,,10.0,gmina dolnośląskie-północny-12-03,8735
0208006,,10.18,,,gmina dolnośląskie-wschodni-08-06,8724
0217007,,,1.0,,gmina dolnośląskie-miejski-17-07,8632
1608006,9.0,97.31,97.8,,gmina opolskie-wschodni-08-06,8626
1607005,,11.0,,,gmina opolskie-południowy-07-05,8465
0226006,1.0,,,11.0,gmina dolnośląskie-wschodni-26-06,8376
0204002,,2.49,,,gmina dolnośląskie-centralny-04-02,8259
0219003,,,9.18,,gmina dolnośląskie-południowy-19-03,8176
1609005,,46.25,,40.0,gmina opolskie-zachodni-09-05,8143
1601006,35.0,29.0,,,gmina opolskie-południowy-01-06,8064
0210006,2.3,,,,gmina dolnośląskie-centralny-10-06,7926
1605007,,,,38.7,gmina opolskie-miejski-05-07,7895
0205007,16.0,,,20.5,gmina dolnośląskie-miejski-05-07,7814
0212004,,,1.0,,gmina dolnośląskie-północny-12-04,7810
0215006,1.0,,1.0,,gmina dolnośląskie-zachodni-15-06,7723
0220006,,,,79.2,gmina dolnośląskie-wschodni-20-06,7687
0209004,6.0,,,8.7,gmina dolnośląskie-zachodni-09-04,7673
1603004,,,15.0,,gmina opolskie-zachodni-03-04,7603
0212002,,13.39,,,gmina dolnośląskie-północny-12-02,7570
1601002,92.4,,,26.0,gmina opolskie-południowy-01-02,7439
1611006,,,33.0,,gmina opolskie-miejski-11-06,7211
0214007,,,28.9,,gmina dolnośląskie-wschodni-14-07,7140
0228005,,19.89,,,gmina dolnośląskie-centralny-28-05,7097
0225006,7.9,,,,gmina dolnośląskie-południowy-25-06,7078
0206005,,,18.92,,gmina dolnośląskie-północny-06-05,7065
2436002,,,62.0,,gmina śląskie-północny-36-02,7007
0218003,,,0.0,,gmina dolnośląskie-północny-18-03,7000
0221005,,,,4.9,gmina dolnośląskie-zachodni-21-05,6911
2413002,,41.0,,,gmina śląskie-południowy-13-02,6785
0203003,16.0,,10.0,0.0,gmina dolnośląskie-zachodni-03-03,6648
1611001,31.0,,,32.0,gmina opolskie-miejski-11-01,6617
0213003,,11.0,,,gmina dolnośląskie-południowy-13-03,6575
1610006,,29.58,,,gmina opolskie-centralny-10-06,6495
1610004,,,,26.0,gmina opolskie-centralny-10-04,6490
0205003,,,8.98,18.5,gmina dolnośląskie-miejski-05-03,6474
0229005,57.2,,60.4,,gmina dolnośląskie-miejski-29-05,6410
0219004,1.0,,10.7,,gmina dolnośląskie-południowy-19-04,6385
3216003,,,,54.6,gmina zachodniopomorskie-centralny-16-03,6313
1605004,19.0,,25.0,,gmina opolskie-miejski-05-04,6235
1605003,92.4,33.0,,,gmina opolskie-miejski-05-03,6198
0226003,,3.04,,,gmina dolnośląskie-wschodni-26-03,6172
0222001,,6.9,,,gmina dolnośląskie-centralny-22-01,5994
0213001,,,,5.0,gmina dolnośląskie-południowy-13-01,5940
0229004,2.5,,,,gmina dolnośląskie-miejski-29-04,5917
1612004,40.0,,,31.42,gmina opolskie-północny-12-04,5774
1610002,25.0,,,30.1,gmina opolskie-centralny-10-02,5722
0203004,,0.0,20.9,0.0,gmina dolnośląskie-zachodni-03-04,5662
1606006,,,31.0,94.1,gmina opolskie-północny-06-06,5567
0207007,5.4,,,0.0,gmina dolnośląskie-południowy-07-07,5509
0203005,16.0,3.07,,,gmina dolnośląskie-zachodni-03-05,5489
3214004,59.0,,,,gmina zachodniopomorskie-wschodni-14-04,5474
1608007,,,,93.5,gmina opolskie-wschodni-08-07,5418
0222002,,,5.8,,gmina dolnośląskie-centralny-22-02,5413
0226005,1.0,0.0,2.04,,gmina dolnośląskie-wschodni-26-05,5377
0227003,0.0,,,,gmina dolnośląskie-zachodni-27-03,5331
1602005,,30.11,,,gmina opolskie-wschodni-02-05,5287
1607007,94.2,,14.0,94.5,gmina opolskie-południowy-07-07,5267
0805002,44.0,,,,gmina lubuskie-miejski-05-02,5241
1601004,92.4,,,,gmina opolskie-południowy-01-04,5236
0222005,,0.0,,,gmina dolnośląskie-centralny-22-05,5206
0204003,48.4,,1.54,2.6,gmina dolnośląskie-centralny-04-03,5129
1609003,,,93.1,,gmina opolskie-zachodni-09-03,5111
0202004,41.0,4.57,84.2,4.0,gmina dolnośląskie-wschodni-02-04,5102
3202005,,63.73,,,gmina zachodniopomorskie-wschodni-02-05,5080
1602003,,,9.0,,gmina opolskie-wschodni-02-03,5063
0224004,,12.57,0.69,,gmina dolnośląskie-północny-24-04,4943
1602004,,26.0,33.0,,gmina opolskie-wschodni-02-04,4876
1607001,39.8,,,43.9,gmina opolskie-południowy-07-01,4827
0214005,58.5,2.71,,,gmina dolnośląskie-wschodni-14-05,4756
0222003,76.5,,,,gmina dolnośląskie-centralny-22-03,4697
0204005,,3.39,,,gmina dolnośląskie-centralny-04-05,4654
1608005,24.0,,12.7,32.57,gmina opolskie-wschodni-08-05,4525
0214006,1.0,,,,gmina dolnośląskie-wschodni-14-06,4480
0227001,9.0,,,,gmina dolnośląskie-zachodni-27-01,4368
0206003,57.2,2.0,,59.4,gmina dolnośląskie-północny-06-03,4337
0213002,16.0,0.0,,,gmina dolnośląskie-południowy-13-02,4302
0215005,25.0,,8.3,7.6,gmina dolnośląskie-zachodni-15-05,4168
0223004,,,,5.7,gmina dolnośląskie-miejski-23-04,4039
0229007,57.2,7.42,,59.9,gmina dolnośląskie-miejski-29-07,4028
3220005,,,42.0,,gmina zachodniopomorskie-wschodni-20-05,4011
1606004,,10.45,,,gmina opolskie-północny-06-04,3904
1601003,92.4,29.47,,,gmina opolskie-południowy-01-03,3881
1611007,,,,24.5,gmina opolskie-miejski-11-07,3779
0208001,,21.21,,,gmina dolnośląskie-wschodni-08-01,3671
0215001,10.0,28.71,,,gmina dolnośląskie-zachodni-15-01,3449
0220001,,,82.6,3.5,gmina dolnośląskie-wschodni-20-01,3364
0227005,9.0,,,,gmina dolnośląskie-zachodni-27-05,3226
1609001,40.0,20.0,,23.4,gmina opolskie-zachodni-09-01,3196
0216005,16.0,,,,gmina dolnośląskie-centralny-16-05,3111
0224003,57.2,,,10.0,gmina dolnośląskie-północny-24-03,3081
0228001,,,,18.2,gmina dolnośląskie-centralny-28-01,3025
1607006,22.0,,,,gmina opolskie-południowy-07-06,2962
0207002,1.0,,,,gmina dolnośląskie-południowy-07-02,2817
1604003,,,19.0,42.2,gmina opolskie-centralny-04-03,2812
1601001,92.4,29.41,6.0,,gmina opolskie-południowy-01-01,2757
0230006,,,79.6,80.3,gmina dolnośląskie-północny-30-06,2734
0222006,77.9,,,,gmina dolnośląskie-centralny-22-06,2637
1609006,,18.0,29.0,,gmina opolskie-zachodni-09-06,2633
0218005,57.2,,,62.99,gmina dolnośląskie-północny-18-05,2207
0204001,,19.85,18.8,,gmina dolnośląskie-centralny-04-01,2181
3209002,,57.71,,,gmina zachodniopomorskie-zachodni-09-02,2081
0219002,,1.0,,,gmina dolnośląskie-południowy-19-02,1923
1606005,92.4,28.27,,,gmina opolskie-północny-06-05,1800
1610005,,,,28.0,gmina opolskie-centralny-10-05,1800
